"REF_DATE","GEO","DGUID","Assets and debts","Net worth quintiles","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Total assets","Total, all net worth quintiles","Dollars","2012 constant dollars","23","millions","6","v80751202","1.1.1.1","4489109","","","","0"
"1999","Canada","2016A000011124","Total assets","Total, all net worth quintiles","Percentage of total assets or total debts","Percent","239","units ","0","v80757521","1.1.1.2","100.0","","","","1"
"1999","Canada","2016A000011124","Total assets","Total, all net worth quintiles","Number of family units","Number","223","thousands","3","v80757522","1.1.1.3","12216","","","","0"
"1999","Canada","2016A000011124","Total assets","Total, all net worth quintiles","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757523","1.1.1.4","100.0","","","","1"
"1999","Canada","2016A000011124","Total assets","Total, all net worth quintiles","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751203","1.1.1.5","209900","","","","0"
"1999","Canada","2016A000011124","Total assets","Total, all net worth quintiles","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751204","1.1.1.6","367500","","","","0"
"1999","Canada","2016A000011124","Total assets","Lowest net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751205","1.1.2.1","26205","","","","0"
"1999","Canada","2016A000011124","Total assets","Lowest net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757524","1.1.2.2","100.0","","","","1"
"1999","Canada","2016A000011124","Total assets","Lowest net worth quintile","Number of family units","Number","223","thousands","3","v80757525","1.1.2.3","2444","","","","0"
"1999","Canada","2016A000011124","Total assets","Lowest net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757526","1.1.2.4","100.0","","","","1"
"1999","Canada","2016A000011124","Total assets","Lowest net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751206","1.1.2.5","4400","","","","0"
"1999","Canada","2016A000011124","Total assets","Lowest net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751207","1.1.2.6","10700","","","","0"
"1999","Canada","2016A000011124","Total assets","Second net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751208","1.1.3.1","195126","","","","0"
"1999","Canada","2016A000011124","Total assets","Second net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757527","1.1.3.2","100.0","","","","1"
"1999","Canada","2016A000011124","Total assets","Second net worth quintile","Number of family units","Number","223","thousands","3","v80757528","1.1.3.3","2442","","","","0"
"1999","Canada","2016A000011124","Total assets","Second net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757529","1.1.3.4","100.0","","","","1"
"1999","Canada","2016A000011124","Total assets","Second net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751209","1.1.3.5","55300","","","","0"
"1999","Canada","2016A000011124","Total assets","Second net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751210","1.1.3.6","79900","","","","0"
"1999","Canada","2016A000011124","Total assets","Middle net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751211","1.1.4.1","513819","","","","0"
"1999","Canada","2016A000011124","Total assets","Middle net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757530","1.1.4.2","100.0","","","","1"
"1999","Canada","2016A000011124","Total assets","Middle net worth quintile","Number of family units","Number","223","thousands","3","v80757531","1.1.4.3","2443","","","","0"
"1999","Canada","2016A000011124","Total assets","Middle net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757532","1.1.4.4","100.0","","","","1"
"1999","Canada","2016A000011124","Total assets","Middle net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751212","1.1.4.5","198200","","","","0"
"1999","Canada","2016A000011124","Total assets","Middle net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751213","1.1.4.6","210300","","","","0"
"1999","Canada","2016A000011124","Total assets","Fourth net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751214","1.1.5.1","932314","","","","0"
"1999","Canada","2016A000011124","Total assets","Fourth net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757533","1.1.5.2","100.0","","","","1"
"1999","Canada","2016A000011124","Total assets","Fourth net worth quintile","Number of family units","Number","223","thousands","3","v80757534","1.1.5.3","2443","","","","0"
"1999","Canada","2016A000011124","Total assets","Fourth net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757535","1.1.5.4","100.0","","","","1"
"1999","Canada","2016A000011124","Total assets","Fourth net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751215","1.1.5.5","370700","","","","0"
"1999","Canada","2016A000011124","Total assets","Fourth net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751216","1.1.5.6","381600","","","","0"
"1999","Canada","2016A000011124","Total assets","Highest net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751217","1.1.6.1","2821644","","","","0"
"1999","Canada","2016A000011124","Total assets","Highest net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757536","1.1.6.2","100.0","","","","1"
"1999","Canada","2016A000011124","Total assets","Highest net worth quintile","Number of family units","Number","223","thousands","3","v80757537","1.1.6.3","2443","","","","0"
"1999","Canada","2016A000011124","Total assets","Highest net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757538","1.1.6.4","100.0","","","","1"
"1999","Canada","2016A000011124","Total assets","Highest net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751218","1.1.6.5","822300","","","","0"
"1999","Canada","2016A000011124","Total assets","Highest net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751219","1.1.6.6","1155000","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Total, all net worth quintiles","Dollars","2012 constant dollars","23","millions","6","v80751220","1.2.1.1","1309523","","","","0"
