"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Liquidity"

"DESCRIPTION"
"Sources: Regulatory filings of Canadian banks and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_NSFR_SIB","Large banks","Average net stable funding ratio—Large banks"
"FVI_LCR_SIB","Large banks","Average liquidity coverage ratio—Large banks"

"OBSERVATIONS"
"date","FVI_NSFR_SIB","FVI_LCR_SIB"
"2015Q2","","121.93"
"2015Q3","","122.57"
"2015Q4","","125.99"
"2016Q1","","124.14"
"2016Q2","","125.10"
"2016Q3","","126.77"
"2016Q4","","128.21"
"2017Q1","","126.23"
"2017Q2","","128.19"
"2017Q3","","126.40"
"2017Q4","","127.82"
"2018Q1","","127.88"
"2018Q2","","129.30"
"2018Q3","","129.99"
"2018Q4","","131.61"
"2019Q1","","133.08"
"2019Q2","","131.58"
"2019Q3","","129.86"
"2019Q4","","131.58"
"2020Q1","","131.56"
"2020Q2","","136.75"
"2020Q3","","149.55"
"2020Q4","","141.25"
"2021Q1","120.31","136.08"
"2021Q2","120.08","131.31"
"2021Q3","117.73","126.57"
"2021Q4","117.32","126.05"
"2022Q1","115.07","126.24"
"2022Q2","115.03","125.06"
"2022Q3","115.49","125.61"
"2022Q4","115.19","128.09"
"2023Q1","116.48","135.61"
"2023Q2","115.24","135.20"
"2023Q3","114.52","135.01"
"2023Q4","115.24","131.92"
"2024Q1","114.37","133.78"
"2024Q2","113.80","128.80"
"2024Q3","115.17","131.01"
"2024Q4","115.78","132.52"
"2025Q1","115.13","133.70"
"2025Q2","116.93","135.06"
"2025Q3","116.36","130.35"
"2025Q4","115.09","131.62"
