"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Profitability"

"DESCRIPTION"
"Sources: Regulatory filings of Canadian banks and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_ROE_SIB","Large banks","Return on equity—Large banks"
"FVI_ROE_SMSB","Small and medium-sized banks","Return on equity—Small and medium-sized banks"
"FVI_ROA_SIB","Large banks","Return on assets—Large banks"
"FVI_ROA_SMSB","Small and medium-sized banks","Return on assets—Small and medium-sized banks"

"OBSERVATIONS"
"date","FVI_ROE_SIB","FVI_ROE_SMSB","FVI_ROA_SIB","FVI_ROA_SMSB"
"2013Q1","15.38","11.95","0.86","0.84"
"2013Q2","14.98","11.96","0.82","0.84"
"2013Q3","15.71","12.99","0.87","0.94"
"2013Q4","14.77","10.56","0.84","0.75"
"2014Q1","15.99","11.64","0.89","0.83"
"2014Q2","14.30","11.59","0.80","0.84"
"2014Q3","17.05","12.49","0.96","0.90"
"2014Q4","13.73","10.62","0.77","0.77"
"2015Q1","14.75","11.44","0.81","0.81"
"2015Q2","14.00","11.71","0.78","0.85"
"2015Q3","14.99","12.04","0.84","0.87"
"2015Q4","13.37","5.15","0.76","0.37"
"2016Q1","13.09","9.86","0.75","0.70"
"2016Q2","12.21","9.75","0.71","0.71"
"2016Q3","15.41","10.06","0.87","0.74"
"2016Q4","13.50","8.29","0.79","0.61"
"2017Q1","15.35","11.29","0.90","0.84"
"2017Q2","13.99","7.76","0.83","0.58"
"2017Q3","14.37","10.97","0.87","0.83"
"2017Q4","14.18","10.33","0.85","0.79"
"2018Q1","13.95","11.54","0.82","0.86"
"2018Q2","14.84","11.02","0.87","0.82"
"2018Q3","14.93","11.41","0.89","0.84"
"2018Q4","14.90","11.14","0.90","0.82"
"2019Q1","13.44","10.41","0.79","0.77"
"2019Q2","14.42","9.28","0.86","0.68"
"2019Q3","14.02","10.48","0.84","0.78"
"2019Q4","13.07","10.38","0.78","0.79"
"2020Q1","14.01","4.64","0.82","0.34"
"2020Q2","6.53","5.20","0.36","0.38"
"2020Q3","10.87","9.64","0.59","0.71"
"2020Q4","14.66","10.05","0.81","0.75"
"2021Q1","14.99","10.25","0.82","0.81"
"2021Q2","14.85","11.55","0.83","0.93"
"2021Q3","15.98","10.96","0.91","0.88"
"2021Q4","14.90","8.18","0.85","0.65"
"2022Q1","16.30","11.72","0.91","0.91"
"2022Q2","17.58","8.54","1.00","0.63"
"2022Q3","12.78","11.54","0.72","0.83"
"2022Q4","17.88","9.97","0.99","0.73"
"2023Q1","7.34","11.20","0.41","0.84"
"2023Q2","11.35","10.50","0.65","0.78"
"2023Q3","11.19","7.18","0.64","0.54"
"2023Q4","10.73","12.62","0.61","0.97"
"2024Q1","10.80","8.43","0.61","0.67"
"2024Q2","11.15","7.65","0.64","0.66"
"2024Q3","9.11","12.32","0.52","1.08"
"2024Q4","11.99","8.43","0.69","0.74"
"2025Q1","11.42","10.10","0.65","0.86"
"2025Q2","17.11","11.30","0.99","0.96"
"2025Q3","12.67","9.81","0.75","0.83"
"2025Q4","12.32","6.96","0.72","0.58"
