"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Reliance on and use of credit cards"

"DESCRIPTION"
"Sources: TransUnion and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_CC_AVG_UTILIZATION_RATE_ALLBORROWERS","All borrowers","Average use rates of credit cards (%), by type of borrower—All borrowers"
"FVI_CC_AVG_UTILIZATION_RATE_MTGHOLDER","Mortgage holders","Average use rates of credit cards (%), by type of borrower—Mortgage holders"
"FVI_CC_AVG_UTILIZATION_RATE_NON_MTGHOLDER","Borrowers without a mortgage","Average use rates of credit cards (%), by type of borrower—Borrowers without a mortgage"
"FVI_CC_DLQ_RATE_30DAYPLUS_ALLBORROWERS","All borrowers","Share of borrowers that are late by at least 30 days on payments on one or more credit cards (%), by type of borrower—All borrowers"
"FVI_CC_DLQ_RATE_30DAYPLUS_MTGHOLDER","Mortgage holders","Share of borrowers that are late by at least 30 days on payments on one or more credit cards (%), by type of borrower—Mortgage holders"
"FVI_CC_DLQ_RATE_30DAYPLUS_NON_MTGHOLDER","Borrowers without a mortgage","Share of borrowers that are late by at least 30 days on payments on one or more credit cards (%), by type of borrower—Borrowers without a mortgage"
"FVI_CC_UTILIZATION_RATE_ABOVE80_ALLBORROWERS","All borrowers","Share of borrowers that have a use rate above 80% on their credit card debt (%), by type of borrower—All borrowers"
"FVI_CC_UTILIZATION_RATE_ABOVE80_MTGHOLDER","Mortgage holders","Share of borrowers that have a use rate above 80% on their credit card debt (%), by type of borrower—Mortgage holders"
"FVI_CC_UTILIZATION_RATE_ABOVE80_NON_MTGHOLDER","Borrowers without a mortgage","Share of borrowers that have a use rate above 80% on their credit card debt (%), by type of borrower—Borrowers without a mortgage"

"OBSERVATIONS"
"date","FVI_CC_AVG_UTILIZATION_RATE_ALLBORROWERS","FVI_CC_AVG_UTILIZATION_RATE_MTGHOLDER","FVI_CC_AVG_UTILIZATION_RATE_NON_MTGHOLDER","FVI_CC_DLQ_RATE_30DAYPLUS_ALLBORROWERS","FVI_CC_DLQ_RATE_30DAYPLUS_MTGHOLDER","FVI_CC_DLQ_RATE_30DAYPLUS_NON_MTGHOLDER","FVI_CC_UTILIZATION_RATE_ABOVE80_ALLBORROWERS","FVI_CC_UTILIZATION_RATE_ABOVE80_MTGHOLDER","FVI_CC_UTILIZATION_RATE_ABOVE80_NON_MTGHOLDER"
"2015Q1","24.51","26.47","23.80","3.03","2.90","3.08","11.96","10.91","12.32"
"2015Q2","24.81","26.59","24.19","2.99","2.81","3.05","12.14","10.92","12.56"
"2015Q3","25.30","26.88","24.75","3.03","2.80","3.11","12.54","11.31","12.99"
"2015Q4","25.40","27.02","24.79","3.06","2.85","3.14","12.63","11.44","13.07"
"2016Q1","25.59","27.01","25.03","3.15","2.90","3.25","12.78","11.46","13.28"
"2016Q2","25.74","27.13","25.21","3.13","2.85","3.24","12.93","11.55","13.46"
"2016Q3","26.00","27.19","25.58","3.15","2.85","3.26","13.13","11.71","13.69"
"2016Q4","26.22","27.30","25.79","3.15","2.81","3.28","13.23","11.74","13.82"
"2017Q1","26.35","27.40","25.91","3.11","2.77","3.25","13.29","11.79","13.87"
"2017Q2","26.42","27.41","26.03","3.13","2.77","3.27","13.39","11.80","14.01"
"2017Q3","26.20","27.08","25.89","3.10","2.71","3.24","13.21","11.57","13.86"
"2017Q4","26.39","27.15","26.10","3.10","2.69","3.26","13.27","11.54","13.96"
"2018Q1","26.66","27.30","26.36","3.03","2.61","3.20","13.41","11.62","14.13"
"2018Q2","26.75","27.40","26.49","2.99","2.55","3.16","13.59","11.76","14.31"
"2018Q3","26.86","27.44","26.67","2.97","2.51","3.13","13.67","11.90","14.38"
"2018Q4","27.00","27.57","26.78","2.92","2.46","3.12","13.75","11.95","14.46"
"2019Q1","27.21","27.73","26.96","3.01","2.48","3.22","13.93","12.16","14.64"
"2019Q2","27.27","27.76","27.07","3.10","2.53","3.33","14.03","12.11","14.78"
"2019Q3","27.52","27.65","27.50","2.90","2.46","3.06","14.15","12.09","14.98"
"2019Q4","27.60","27.64","27.58","2.88","2.42","3.07","14.21","12.07","15.07"
"2020Q1","27.80","27.73","27.81","2.90","2.37","3.11","14.38","12.13","15.28"
"2020Q2","24.89","25.18","24.75","2.66","2.30","2.81","12.77","11.06","13.44"
"2020Q3","24.48","24.49","24.53","2.04","1.76","2.14","11.79","10.21","12.45"
"2020Q4","24.83","24.58","24.91","2.07","1.74","2.22","12.08","10.19","12.86"
"2021Q1","24.46","23.93","24.70","1.95","1.54","2.11","11.90","9.83","12.75"
"2021Q2","24.54","23.99","24.72","1.92","1.49","2.10","11.76","9.54","12.67"
"2021Q3","25.35","24.41","25.78","1.97","1.49","2.16","12.06","9.60","13.09"
"2021Q4","25.87","24.91","26.25","2.01","1.48","2.25","12.30","9.69","13.40"
"2022Q1","25.84","24.82","26.30","2.13","1.48","2.38","12.38","9.59","13.53"
"2022Q2","26.61","25.66","26.94","2.30","1.70","2.55","12.71","9.82","13.90"
"2022Q3","26.84","25.78","27.31","2.39","1.69","2.68","12.93","10.02","14.12"
"2022Q4","26.95","25.97","27.34","2.36","1.65","2.65","13.03","10.20","14.18"
"2023Q1","27.05","26.15","27.43","2.41","1.67","2.69","13.17","10.37","14.29"
"2023Q2","27.36","26.52","27.65","2.46","1.72","2.76","13.43","10.69","14.54"
"2023Q3","27.41","26.50","27.79","2.51","1.74","2.82","13.56","10.80","14.64"
"2023Q4","27.58","26.62","27.97","2.58","1.77","2.90","13.72","10.92","14.81"
