"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Household credit performance"

"DESCRIPTION"
"Sources: TransUnion and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_FIN_STRESS","Rates of financial stress","Share of indebted households behind on payments for at least 60 days in any credit category (%)"
"FVI_LOANS_ARR_MTG","Mortgages","Rates of loans in arrears (%), by product type—Mortgages"
"FVI_LOANS_ARR_AUTO","Automobile loans","Rates of loans in arrears (%), by product type—Automobile loans"
"FVI_LOANS_ARR_CC","Credit cards","Rates of loans in arrears (%), by product type—Credit cards"
"FVI_LOANS_ARR_HELOC","Home equity lines of credit","Rates of loans in arrears (%), by product type—Home equity lines of credit"
"FVI_LOANS_ARR_LOC","Unsecured lines of credit","Rates of loans in arrears (%), by product type—Unsecured lines of credit"
"FVI_LOANS_ARR_INSTALL","Instalment loans","Rates of loans in arrears (%), by product type—Instalment loans"

"OBSERVATIONS"
"date","FVI_FIN_STRESS","FVI_LOANS_ARR_MTG","FVI_LOANS_ARR_AUTO","FVI_LOANS_ARR_CC","FVI_LOANS_ARR_HELOC","FVI_LOANS_ARR_LOC","FVI_LOANS_ARR_INSTALL"
"2015Q1","1.93","0.26","0.50","0.53","0.12","0.28","1.69"
"2015Q2","1.93","0.26","0.52","0.53","0.13","0.28","1.81"
"2015Q3","1.92","0.25","0.45","0.57","0.13","0.26","1.34"
"2015Q4","1.84","0.25","0.33","0.58","0.12","0.26","0.92"
"2016Q1","1.94","0.26","0.33","0.60","0.14","0.29","0.96"
"2016Q2","1.95","0.26","0.35","0.62","0.13","0.26","0.97"
"2016Q3","1.96","0.26","0.36","0.62","0.12","0.25","1.04"
"2016Q4","1.96","0.25","0.36","0.64","0.13","0.26","1.07"
"2017Q1","1.97","0.24","0.35","0.64","0.12","0.25","1.07"
"2017Q2","1.98","0.23","0.33","0.66","0.12","0.26","1.05"
"2017Q3","2.00","0.22","0.34","0.66","0.12","0.27","1.05"
"2017Q4","2.02","0.21","0.34","0.68","0.12","0.31","1.03"
"2018Q1","1.98","0.20","0.34","0.65","0.11","0.23","1.18"
"2018Q2","2.00","0.20","0.35","0.65","0.11","0.23","1.32"
"2018Q3","2.01","0.20","0.37","0.66","0.11","0.23","1.35"
"2018Q4","1.99","0.20","0.39","0.66","0.11","0.21","1.41"
"2019Q1","2.05","0.21","0.42","0.68","0.11","0.20","1.40"
"2019Q2","2.18","0.21","0.44","0.75","0.12","0.23","1.41"
"2019Q3","1.96","0.21","0.45","0.61","0.12","0.21","1.47"
"2019Q4","1.97","0.21","0.48","0.63","0.12","0.22","1.49"
"2020Q1","1.99","0.21","0.49","0.64","0.13","0.27","1.50"
"2020Q2","1.93","0.22","0.51","0.60","0.15","0.36","1.50"
"2020Q3","1.54","0.22","0.46","0.48","0.12","0.22","1.44"
"2020Q4","1.50","0.20","0.43","0.45","0.11","0.21","1.33"
"2021Q1","1.42","0.19","0.40","0.45","0.10","0.21","1.27"
"2021Q2","1.41","0.17","0.39","0.46","0.10","0.20","1.28"
"2021Q3","1.42","0.16","0.43","0.47","0.09","0.20","1.29"
"2021Q4","1.42","0.14","0.43","0.48","0.09","0.19","1.39"
"2022Q1","1.52","0.13","0.46","0.51","0.08","0.21","1.47"
"2022Q2","1.58","0.12","0.50","0.54","0.07","0.20","1.49"
"2022Q3","1.67","0.12","0.52","0.58","0.08","0.20","1.53"
"2022Q4","1.69","0.12","0.54","0.61","0.09","0.23","1.57"
"2023Q1","1.70","0.12","0.56","0.61","0.09","0.22","1.63"
"2023Q2","1.78","0.12","0.58","0.64","0.10","0.23","1.72"
"2023Q3","1.83","0.13","0.61","0.66","0.11","0.26","1.76"
"2023Q4","1.88","0.14","0.63","0.68","0.11","0.28","1.83"
"2024Q1","1.92","0.15","0.59","0.71","0.12","0.30","1.81"
"2024Q2","2.00","0.15","0.60","0.74","0.12","0.33","1.90"
"2024Q3","2.05","0.16","0.61","0.75","0.12","0.36","2.06"
"2024Q4","2.08","0.17","0.65","0.76","0.12","0.37","2.25"
"2025Q1","2.12","0.18","0.68","0.77","0.11","0.37","2.31"
"2025Q2","2.10","0.19","0.67","0.76","0.11","0.38","2.34"
"2025Q3","2.11","0.20","0.67","0.76","0.11","0.37","2.50"
"2025Q4","2.16","0.21","0.67","0.78","0.11","0.38","2.64"
