"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"House-flipping activity"

"DESCRIPTION"
"Sources: Teranet, National Bank and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_HOUSE_RESALES_12M_VICTORIA","Victoria","Share of homes purchased and then flipped within 12 months (%), by major census metropolitan area—Victoria"
"FVI_HOUSE_RESALES_12M_VANCOUVER","Vancouver","Share of homes purchased and then flipped within 12 months (%), by major census metropolitan area—Vancouver"
"FVI_HOUSE_RESALES_12M_CALGARY","Calgary","Share of homes purchased and then flipped within 12 months (%), by major census metropolitan area—Calgary"
"FVI_HOUSE_RESALES_12M_EDMONTON","Edmonton","Share of homes purchased and then flipped within 12 months (%), by major census metropolitan area—Edmonton"
"FVI_HOUSE_RESALES_12M_WINNIPEG","Winnipeg","Share of homes purchased and then flipped within 12 months (%), by major census metropolitan area—Winnipeg"
"FVI_HOUSE_RESALES_12M_HAMILTON","Hamilton","Share of homes purchased and then flipped within 12 months (%), by major census metropolitan area—Hamilton"
"FVI_HOUSE_RESALES_12M_TORONTO","Toronto","Share of homes purchased and then flipped within 12 months (%), by major census metropolitan area—Toronto"
"FVI_HOUSE_RESALES_12M_OTTAWAGATINEAU","Ottawa-Gatineau","Share of homes purchased and then flipped within 12 months (%), by major census metropolitan area—Ottawa-Gatineau"
"FVI_HOUSE_RESALES_12M_MONTREAL","Montréal","Share of homes purchased and then flipped within 12 months (%), by major census metropolitan area—Montréal"
"FVI_HOUSE_RESALES_12M_QUEBEC","Québec","Share of homes purchased and then flipped within 12 months (%), by major census metropolitan area—Québec"
"FVI_HOUSE_RESALES_12M_HALIFAX","Halifax","Share of homes purchased and then flipped within 12 months (%), by major census metropolitan area—Halifax"
"FVI_HOUSE_RESALES_12M_CANADA","All of Canada","Share of homes purchased and then flipped within 12 months (%), all of Canada"
"FVI_HOUSE_RESALES_6M_VICTORIA","Victoria","Share of homes purchased and then flipped within 6 months (%), by major census metropolitan area—Victoria"
"FVI_HOUSE_RESALES_6M_VANCOUVER","Vancouver","Share of homes purchased and then flipped within 6 months (%), by major census metropolitan area—Vancouver"
"FVI_HOUSE_RESALES_6M_CALGARY","Calgary","Share of homes purchased and then flipped within 6 months (%), by major census metropolitan area—Calgary"
"FVI_HOUSE_RESALES_6M_EDMONTON","Edmonton","Share of homes purchased and then flipped within 6 months (%), by major census metropolitan area—Edmonton"
"FVI_HOUSE_RESALES_6M_WINNIPEG","Winnipeg","Share of homes purchased and then flipped within 6 months (%), by major census metropolitan area—Winnipeg"
"FVI_HOUSE_RESALES_6M_HAMILTON","Hamilton","Share of homes purchased and then flipped within 6 months (%), by major census metropolitan area—Hamilton"
"FVI_HOUSE_RESALES_6M_TORONTO","Toronto","Share of homes purchased and then flipped within 6 months (%), by major census metropolitan area—Toronto"
"FVI_HOUSE_RESALES_6M_OTTAWAGATINEAU","Ottawa-Gatineau","Share of homes purchased and then flipped within 6 months (%), by major census metropolitan area—Ottawa-Gatineau"
"FVI_HOUSE_RESALES_6M_MONTREAL","Montréal","Share of homes purchased and then flipped within 6 months (%), by major census metropolitan area—Montréal"
"FVI_HOUSE_RESALES_6M_QUEBEC","Québec","Share of homes purchased and then flipped within 6 months (%), by major census metropolitan area—Québec"
"FVI_HOUSE_RESALES_6M_HALIFAX","Halifax","Share of homes purchased and then flipped within 6 months (%), by major census metropolitan area—Halifax"
"FVI_HOUSE_RESALES_6M_CANADA","All of Canada","Share of homes purchased and then flipped within 6 months (%), all of Canada"

"OBSERVATIONS"
"date","FVI_HOUSE_RESALES_12M_VICTORIA","FVI_HOUSE_RESALES_12M_VANCOUVER","FVI_HOUSE_RESALES_12M_CALGARY","FVI_HOUSE_RESALES_12M_EDMONTON","FVI_HOUSE_RESALES_12M_WINNIPEG","FVI_HOUSE_RESALES_12M_HAMILTON","FVI_HOUSE_RESALES_12M_TORONTO","FVI_HOUSE_RESALES_12M_OTTAWAGATINEAU","FVI_HOUSE_RESALES_12M_MONTREAL","FVI_HOUSE_RESALES_12M_QUEBEC","FVI_HOUSE_RESALES_12M_HALIFAX","FVI_HOUSE_RESALES_12M_CANADA","FVI_HOUSE_RESALES_6M_VICTORIA","FVI_HOUSE_RESALES_6M_VANCOUVER","FVI_HOUSE_RESALES_6M_CALGARY","FVI_HOUSE_RESALES_6M_EDMONTON","FVI_HOUSE_RESALES_6M_WINNIPEG","FVI_HOUSE_RESALES_6M_HAMILTON","FVI_HOUSE_RESALES_6M_TORONTO","FVI_HOUSE_RESALES_6M_OTTAWAGATINEAU","FVI_HOUSE_RESALES_6M_MONTREAL","FVI_HOUSE_RESALES_6M_QUEBEC","FVI_HOUSE_RESALES_6M_HALIFAX","FVI_HOUSE_RESALES_6M_CANADA"
"2014Q1","1.97","2.74","2.46","3.19","2.77","1.87","2.30","0.88","1.37","1.22","1.30","2.11","1.20","1.53","1.21","1.72","1.54","0.81","0.85","0.44","0.37","0.36","0.29","0.94"
"2014Q2","1.85","2.85","2.77","2.83","3.39","2.08","2.36","1.13","1.26","1.28","1.00","2.11","1.05","1.58","1.32","1.54","1.56","0.72","0.86","0.41","0.38","0.43","0.39","0.91"
"2014Q3","1.62","2.65","2.32","2.47","2.92","1.97","2.21","1.34","1.21","1.33","0.74","1.98","0.87","1.35","1.09","1.25","1.28","0.66","0.81","0.60","0.37","0.45","0.26","0.82"
"2014Q4","1.57","2.57","2.15","2.28","2.53","1.98","2.14","1.51","1.31","1.33","0.73","1.96","0.81","1.30","1.07","1.21","1.08","0.67","0.81","0.83","0.46","0.55","0.32","0.85"
"2015Q1","1.46","2.68","2.05","2.24","2.20","2.07","2.10","1.47","1.43","1.21","0.71","1.99","0.66","1.37","1.01","1.11","0.82","0.77","0.81","0.80","0.54","0.53","0.27","0.87"
"2015Q2","1.39","2.82","1.81","2.38","1.57","2.13","2.07","1.40","1.45","1.16","0.76","2.00","0.47","1.39","0.92","1.03","0.49","0.86","0.80","0.79","0.54","0.47","0.27","0.86"
"2015Q3","1.54","2.93","1.72","2.36","1.27","2.15","2.06","1.17","1.42","1.02","0.89","2.00","0.45","1.46","0.87","0.98","0.34","0.86","0.81","0.66","0.54","0.46","0.30","0.86"
"2015Q4","1.69","3.12","1.64","2.37","1.11","2.11","2.06","0.87","1.30","0.91","0.80","2.00","0.52","1.64","0.84","0.90","0.24","0.90","0.83","0.39","0.49","0.45","0.19","0.88"
"2016Q1","2.06","3.47","2.28","2.71","1.19","2.15","2.18","0.79","1.10","0.91","0.55","2.20","0.80","1.85","1.22","1.20","0.28","0.89","0.90","0.36","0.43","0.46","0.15","1.01"
"2016Q2","2.44","3.57","3.21","3.12","1.27","2.21","2.50","0.78","1.01","0.84","0.45","2.40","1.08","1.93","1.72","1.54","0.41","0.87","0.98","0.37","0.42","0.44","0.06","1.12"
"2016Q3","2.59","3.57","3.95","3.61","1.39","2.28","2.60","0.78","0.98","0.79","0.34","2.50","1.25","2.03","2.12","1.81","0.44","0.88","0.98","0.34","0.41","0.36","0.09","1.18"
"2016Q4","2.65","3.42","4.73","4.19","1.54","2.28","2.70","0.79","0.95","0.71","0.48","2.58","1.38","1.93","2.52","2.25","0.52","0.87","1.03","0.37","0.42","0.22","0.28","1.22"
"2017Q1","2.75","3.12","5.03","4.45","1.50","2.34","2.72","0.94","0.98","0.85","0.74","2.55","1.40","1.68","2.76","2.42","0.58","0.90","1.09","0.50","0.45","0.33","0.45","1.21"
"2017Q2","2.89","3.17","5.15","4.52","1.64","2.38","2.47","1.12","1.00","0.82","0.81","2.55","1.43","1.58","2.83","2.43","0.55","0.91","1.08","0.60","0.46","0.41","0.54","1.21"
"2017Q3","2.92","3.22","5.27","4.52","1.71","2.31","2.32","1.28","1.01","0.74","0.88","2.56","1.42","1.49","2.90","2.48","0.54","0.89","1.07","0.67","0.49","0.42","0.57","1.23"
"2017Q4","2.93","3.26","5.38","4.32","1.67","2.36","2.29","1.46","0.99","0.82","0.83","2.59","1.42","1.52","2.94","2.29","0.51","0.90","1.01","0.76","0.48","0.45","0.54","1.24"
"2018Q1","2.99","3.22","5.38","4.66","1.58","2.29","2.21","1.63","1.02","0.85","0.98","2.61","1.44","1.55","2.88","2.40","0.41","0.84","0.86","0.82","0.47","0.42","0.72","1.23"
"2018Q2","2.97","3.07","5.27","5.21","1.50","2.18","2.11","1.60","1.03","0.99","1.15","2.52","1.42","1.57","2.76","2.65","0.39","0.72","0.70","0.75","0.47","0.36","0.79","1.16"
"2018Q3","3.10","3.07","5.16","5.65","1.39","2.18","2.03","1.69","0.99","1.05","1.23","2.48","1.51","1.60","2.67","2.79","0.41","0.68","0.62","0.78","0.43","0.38","0.78","1.12"
"2018Q4","3.12","2.99","5.27","6.19","1.30","2.06","1.81","1.71","1.05","1.06","1.49","2.40","1.51","1.49","2.75","3.13","0.43","0.58","0.53","0.77","0.45","0.45","0.90","1.06"
"2019Q1","2.70","2.76","5.46","6.54","1.36","1.90","1.63","1.62","1.12","0.90","1.74","2.28","1.30","1.34","2.87","3.50","0.55","0.59","0.50","0.71","0.48","0.37","1.02","1.03"
"2019Q2","2.48","2.56","5.77","6.50","1.26","1.88","1.47","1.54","1.25","0.81","1.69","2.20","1.21","1.23","3.10","3.52","0.51","0.66","0.52","0.67","0.52","0.46","1.06","1.02"
"2019Q3","2.35","2.33","6.20","6.39","1.17","1.79","1.39","1.43","1.33","0.79","1.73","2.13","1.15","1.17","3.24","3.58","0.50","0.64","0.51","0.62","0.56","0.45","1.07","1.01"
