"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"House price expectations"

"DESCRIPTION"
"Sources: Bank of Canada and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_CSCE_ATL","Atlantic Canada","Expected increase (%) in average house prices over the next 12 months, by province or region—Atlantic Canada"
"FVI_CSCE_QC","Quebec","Expected increase (%) in average house prices over the next 12 months, by province or region—Quebec"
"FVI_CSCE_ON","Ontario","Expected increase (%) in average house prices over the next 12 months, by province or region—Ontario"
"FVI_CSCE_MB","Manitoba","Expected increase (%) in average house prices over the next 12 months, by province or region—Manitoba"
"FVI_CSCE_SK","Saskatchewan","Expected increase (%) in average house prices over the next 12 months, by province or region—Saskatchewan"
"FVI_CSCE_AB","Alberta","Expected increase (%) in average house prices over the next 12 months, by province or region—Alberta"
"FVI_CSCE_BC","British Columbia","Expected increase (%) in average house prices over the next 12 months, by province or region—British Columbia"
"FVI_CSCE_CAN","All of Canada","Expected increase (%) in average house prices over the next 12 months, all of Canada"

"OBSERVATIONS"
"date","FVI_CSCE_ATL","FVI_CSCE_QC","FVI_CSCE_ON","FVI_CSCE_MB","FVI_CSCE_SK","FVI_CSCE_AB","FVI_CSCE_BC","FVI_CSCE_CAN"
"2016Q2","1.79","3.75","5.53","4.27","2.56","1.62","11.15","4.89"
"2016Q3","2.55","3.12","5.42","4.10","2.10","0.33","5.56","4.38"
"2016Q4","2.64","2.98","5.42","2.73","0.10","0.49","5.16","4.25"
"2017Q1","2.58","2.90","7.17","2.91","-0.09","2.26","4.89","4.70"
"2017Q2","3.65","3.50","9.01","4.30","2.78","2.26","7.14","4.91"
"2017Q3","3.10","3.25","4.31","2.17","1.46","2.76","8.06","4.24"
"2017Q4","2.92","3.29","4.96","2.53","1.40","3.78","8.32","4.69"
"2018Q1","2.34","4.11","4.89","4.22","1.84","2.82","8.57","4.50"
"2018Q2","2.89","4.35","4.57","4.01","1.37","2.47","5.28","4.32"
"2018Q3","3.15","3.93","4.77","2.86","1.38","2.38","4.70","4.52"
"2018Q4","2.29","4.29","4.40","2.86","0.27","1.35","3.40","3.61"
"2019Q1","3.47","4.09","4.74","2.22","-0.17","1.55","4.25","3.72"
"2019Q2","2.67","4.19","4.73","3.13","0.50","1.41","2.48","3.80"
"2019Q3","2.37","4.25","4.57","2.09","1.27","1.74","2.24","3.95"
"2019Q4","3.60","4.40","5.13","4.16","1.30","0.74","4.75","4.45"
"2020Q1","3.04","4.95","5.96","2.64","1.33","1.49","4.27","4.79"
"2020Q2","0.27","0.70","0.99","0.20","-1.37","-4.31","-0.31","0.03"
"2020Q3","3.55","4.34","5.13","4.53","1.92","0.61","4.27","4.67"
"2020Q4","4.76","5.20","5.69","3.61","2.62","1.28","4.76","4.98"
"2021Q1","4.92","5.29","6.27","4.36","2.18","2.50","5.93","5.32"
"2021Q2","6.26","8.60","6.96","5.29","4.59","4.82","6.48","5.73"
"2021Q3","5.04","5.41","5.62","4.30","4.40","4.32","6.05","5.30"
"2021Q4","5.54","5.38","8.75","3.07","4.77","4.73","5.81","5.72"
"2022Q1","8.73","6.04","9.00","6.25","4.41","5.12","8.93","7.12"
"2022Q2","7.37","7.09","7.73","5.39","4.20","5.15","7.12","6.00"
"2022Q3","1.94","2.75","0.70","2.84","2.55","1.81","1.59","1.80"
"2022Q4","2.70","2.00","0.64","1.14","1.74","1.80","0.10","1.45"
"2023Q1","3.94","2.55","2.24","2.23","2.06","2.36","2.22","2.33"
"2023Q2","4.40","4.03","4.63","3.33","3.59","4.06","4.56","4.34"
"2023Q3","5.20","4.83","4.92","2.81","4.40","4.92","5.03","4.88"
"2023Q4","5.01","4.61","4.14","4.25","5.71","4.12","4.15","4.38"
"2024Q1","7.15","4.74","4.74","6.72","4.02","5.35","4.21","4.84"
"2024Q2","4.76","5.57","5.02","4.09","4.64","5.47","4.90","5.11"
"2024Q3","5.43","4.68","4.50","5.04","5.06","4.95","4.64","4.71"
"2024Q4","5.78","4.76","4.58","4.40","5.79","5.05","4.18","4.82"
"2025Q1","5.47","5.49","4.18","4.14","4.45","5.03","3.92","4.63"
"2025Q2","4.77","5.64","2.92","4.85","4.38","4.73","2.89","4.58"
"2025Q3","5.17","5.08","2.48","4.85","5.10","4.35","2.72","4.50"
"2025Q4","5.26","5.41","2.21","4.81","4.90","4.22","2.49","4.35"
