"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Loan-to-income ratio"

"DESCRIPTION"
"Note: LTI is loan to income."
"Sources: Regulatory filings of Canadian banks, TransUnion, Department of Finance Canada and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_MEDIAN_LTI_FTHB","First-time homebuyers, originations dataset, using RESL1","Median LTI ratio (%), by type of homebuyer-First-time homebuyers, originations dataset, using RESL1"
"FVI_MEDIAN_LTI_REPEAT","Repeat homebuyers, originations dataset, using RESL1","Median LTI ratio (%), by type of homebuyer-Repeat homebuyers, originations dataset, using RESL1"
"FVI_MEDIAN_LTI_INVESTORS","Investors, originations dataset, using RESL1","Median LTI ratio (%), by type of homebuyer-Investors, originations dataset, using RESL1"
"FVI_MEDIAN_LTI_MTG_INS","Insured mortgages","Median LTI ratio (%), by mortgage insurance status-Insured mortgages, using mortgage insurance data"
"FVI_MEDIAN_LTI_MTG_UNINS","Uninsured mortgages, originations dataset, using RESL1","Median LTI ratio (%), by mortgage insurance status-Uninsured mortgages, originations dataset, using RESL1"
"FVI_MEDIAN_LTI_MTG_ALL","All mortgages, originations dataset, using RESL1","Median LTI ratio (%), all mortgages, originations dataset, using RESL1 and mortgage insurance data"
"FVI_MTG_LTI450_INS","Insured mortgages","Share of new insured mortgages (%) with an LTI ratio above 450%, using mortgage insurance data"
"FVI_MTG_LTI450_UNINS","Uninsured mortgages, originations dataset, using RESL1","Share of new uninsured mortgages (%) with an LTI ratio above 450%, originations dataset, using RESL1"
"FVI_MTG_LTI450_ALL","All mortgages, originations dataset, using RESL1","Share of new mortgages (%) with an LTI ratio above 450%, all mortgages, originations dataset, using RESL1 and mortgage insurance data"
"FVI_MTG_LTI450_FTHB","First-time homebuyers, originations dataset, using RESL1","Share of new mortgages (%) with an LTI ratio above 450%, by type of homebuyer-First-time homebuyers, originations dataset, using RESL1"
"FVI_MTG_LTI450_REPEAT","Repeat homebuyers, originations dataset, using RESL1","Share of new mortgages (%) with an LTI ratio above 450%, by type of homebuyer-Repeat homebuyers, originations dataset, using RESL1"
"FVI_MTG_LTI450_INVESTORS","Investors, originations dataset, using RESL1","Share of new mortgages (%) with an LTI ratio above 450%, by type of homebuyer-Investors, originations dataset, using RESL1"
"FVI_MEDIAN_LTI_FTHB_RESL2","First-time homebuyers, enhanced dataset, using RESL2","Median LTI ratio (%), by type of homebuyer-First-time homebuyers, enhanced dataset, using RESL2"
"FVI_MEDIAN_LTI_REPEAT_RESL2","Repeat homebuyers, enhanced dataset, using RESL2","Median LTI ratio (%), by type of homebuyer-Repeat homebuyers, enhanced dataset, using RESL2"
"FVI_MEDIAN_LTI_INVESTORS_RESL2","Investors, enhanced dataset, using RESL2","Median LTI ratio (%), by type of homebuyer-Investors, enhanced dataset, using RESL2"
"FVI_MEDIAN_LTI_MTG_UNINS_RESL2","Uninsured mortgages, enhanced dataset, using RESL2","Median LTI ratio (%), by mortgage insurance status-Uninsured mortgages, enhanced dataset, using RESL2"
"FVI_MEDIAN_LTI_MTG_ALL_MI_RESL2","All mortgages, enhanced dataset, using RESL2","Median LTI ratio (%), all mortgages, enhanced dataset, using RESL2 and mortgage insurance data"
"FVI_MTG_LTI450_UNINS_RESL2","Uninsured mortgages, enhanced dataset, using RESL2","Share of new uninsured mortgages (%) with an LTI ratio above 450%, enhanced dataset, using RESL2"
"FVI_MTG_LTI450_ALL_MI_RESL2","All mortgages, enhanced dataset, using RESL2","Share of new mortgages (%) with an LTI ratio above 450%, all mortgages, enhanced dataset, using RESL2 and mortgage insurance data"
"FVI_MTG_LTI450_FTHB_RESL2","First-time homebuyers, enhanced dataset, using RESL2","Share of new mortgages (%) with an LTI ratio above 450%, by type of homebuyer-First-time homebuyers, enhanced dataset, using RESL2"
"FVI_MTG_LTI450_REPEAT_RESL2","Repeat homebuyers, enhanced dataset, using RESL2","Share of new mortgages (%) with an LTI ratio above 450%, by type of homebuyer-Repeat homebuyers, enhanced dataset, using RESL2"
"FVI_MTG_LTI450_INVESTORS_RESL2","Investors, enhanced dataset, using RESL2","Share of new mortgages (%) with an LTI ratio above 450%, by type of homebuyer-Investors, enhanced dataset, using RESL2"

"OBSERVATIONS"
"date","FVI_MEDIAN_LTI_FTHB","FVI_MEDIAN_LTI_REPEAT","FVI_MEDIAN_LTI_INVESTORS","FVI_MEDIAN_LTI_MTG_INS","FVI_MEDIAN_LTI_MTG_UNINS","FVI_MEDIAN_LTI_MTG_ALL","FVI_MTG_LTI450_INS","FVI_MTG_LTI450_UNINS","FVI_MTG_LTI450_ALL","FVI_MTG_LTI450_FTHB","FVI_MTG_LTI450_REPEAT","FVI_MTG_LTI450_INVESTORS","FVI_MEDIAN_LTI_FTHB_RESL2","FVI_MEDIAN_LTI_REPEAT_RESL2","FVI_MEDIAN_LTI_INVESTORS_RESL2","FVI_MEDIAN_LTI_MTG_UNINS_RESL2","FVI_MEDIAN_LTI_MTG_ALL_MI_RESL2","FVI_MTG_LTI450_UNINS_RESL2","FVI_MTG_LTI450_ALL_MI_RESL2","FVI_MTG_LTI450_FTHB_RESL2","FVI_MTG_LTI450_REPEAT_RESL2","FVI_MTG_LTI450_INVESTORS_RESL2"
"2014Q1","322.22","274.35","205.43","319.05","234.43","262.32","12.47","12.40","12.46","18.56","13.16","9.98","","","","","","","","","",""
"2014Q2","319.90","278.44","209.27","310.46","230.44","260.99","11.83","12.01","12.01","18.68","13.27","10.03","","","","","","","","","",""
"2014Q3","325.68","282.67","210.91","324.05","239.10","271.90","15.30","13.23","13.95","20.61","14.54","10.11","","","","","","","","","",""
"2014Q4","331.34","286.76","215.73","327.34","237.46","271.14","16.38","13.64","14.53","21.54","15.64","10.36","","","","","","","","","",""
"2015Q1","334.65","293.25","209.76","333.77","239.63","268.82","17.29","13.95","14.86","21.98","16.97","11.40","","","","","","","","","",""
"2015Q2","336.06","298.56","217.46","320.88","248.41","275.67","15.63","15.68","15.73","23.31","18.08","12.91","","","","","","","","","",""
"2015Q3","344.74","304.62","227.35","333.38","254.81","283.60","18.99","16.92","17.59","26.03","20.22","14.07","","","","","","","","","",""
"2015Q4","345.95","307.13","225.44","334.70","253.75","280.86","19.10","16.62","17.35","25.93","20.24","14.38","","","","","","","","","",""
"2016Q1","352.55","310.35","233.37","334.85","254.36","276.67","19.36","16.82","17.42","26.84","21.12","15.10","","","","","","","","","",""
"2016Q2","344.10","302.71","225.14","323.50","251.32","277.16","16.97","16.86","16.95","25.37","19.81","14.00","","","","","","","","","",""
"2016Q3","356.92","311.01","224.43","337.49","260.52","286.92","20.94","18.38","19.14","28.68","21.83","13.43","","","","","","","","","",""
"2016Q4","358.45","313.25","222.28","338.13","263.24","287.55","20.46","18.82","19.30","28.14","22.26","12.70","","","","","","","","","",""
"2017Q1","354.94","316.75","219.20","323.99","269.61","284.67","13.01","19.65","18.41","25.77","22.89","12.16","","","","","","","","","",""
"2017Q2","345.41","307.06","223.79","309.39","268.67","282.64","9.14","19.44","17.07","23.61","21.44","12.72","","","","","","","","","",""
"2017Q3","350.88","311.10","232.92","319.25","273.83","288.68","10.40","19.92","17.75","24.56","22.49","14.37","","","","","","","","","",""
"2017Q4","351.62","314.87","224.60","316.46","269.83","285.18","9.39","19.07","16.87","23.73","21.75","12.53","","","","","","","","","",""
"2018Q1","343.64","313.10","225.59","319.45","264.78","280.79","9.04","17.17","15.54","21.92","21.27","12.58","","","","","","","","","",""
"2018Q2","328.70","288.39","208.34","301.68","248.67","267.87","5.87","13.42","11.51","16.93","14.53","8.37","","","","","","","","","",""
"2018Q3","333.49","297.14","219.92","308.37","254.29","272.89","5.75","14.24","12.14","17.81","16.30","10.16","","","","","","","","","",""
"2018Q4","332.97","293.84","211.67","309.33","254.11","271.90","5.86","13.82","11.98","16.58","15.42","8.09","","","","","","","","","",""
"2019Q1","332.49","288.89","214.62","313.17","256.62","271.89","5.91","13.98","12.35","16.71","14.57","8.30","","","","","","","","","",""
"2019Q2","325.54","283.55","209.50","300.50","257.21","273.05","4.83","14.45","11.98","16.33","13.87","8.07","","","","","","","","","",""
"2019Q3","344.22","297.88","219.50","312.53","268.14","282.51","6.80","16.15","13.96","20.40","16.38","8.97","","","","","","","","","",""
"2019Q4","349.54","302.84","220.41","317.47","270.66","284.93","8.26","17.26","15.28","22.26","18.31","10.06","","","","","","","","","",""
"2020Q1","359.32","308.41","227.40","320.98","271.06","284.11","8.77","18.05","16.36","25.07","20.06","11.50","","","","","","","","","",""
"2020Q2","352.98","302.94","235.10","311.75","268.84","283.42","8.29","17.72","15.52","23.87","19.34","11.58","","","","","","","","","",""
"2020Q3","361.93","311.72","232.20","324.96","278.85","295.17","11.12","19.52","17.38","26.81","21.47","12.23","","","","","","","","","",""
"2020Q4","382.14","336.73","246.50","339.80","291.39","306.74","14.90","22.09","20.53","31.56","26.20","14.26","","","","","","","","","",""
"2021Q1","398.04","349.22","248.52","346.78","294.06","306.90","16.36","23.33","22.22","35.38","29.87","15.69","","","","","","","","","",""
"2021Q2","392.18","351.09","261.74","340.68","305.20","316.35","15.66","25.53","23.51","35.05","30.37","17.68","","","","","","","","","",""
"2021Q3","393.73","354.62","267.06","347.10","305.45","318.61","15.58","25.25","23.25","33.89","30.68","18.30","","","","","","","","","",""
"2021Q4","398.80","356.98","269.89","347.45","307.43","318.80","14.46","25.72","23.70","35.20","30.85","18.28","","","","","","","","","",""
"2022Q1","407.33","374.40","275.35","351.29","309.13","318.90","15.36","26.67","25.08","38.11","34.63","19.42","","","","","","","","","",""
"2022Q2","397.89","354.95","276.21","347.30","302.99","315.67","14.40","25.20","23.21","35.07","31.19","19.12","","","","","","","","","",""
"2022Q3","375.92","337.74","261.95","341.31","285.11","303.44","10.78","21.20","18.98","27.54","25.34","16.00","","","","","","","","","",""
"2022Q4","351.83","315.26","243.48","322.91","269.91","285.71","2.92","15.90","13.36","17.59","18.15","11.23","","","","","","","","","",""
"2023Q1","349.60","313.77","249.93","316.13","267.79","280.00","1.10","14.81","12.53","18.23","17.40","11.50","","","","","","","","","",""
"2023Q2","358.88","321.52","253.00","314.73","270.01","283.96","0.81","15.99","12.97","21.23","20.05","12.18","","","","","","","","","",""
"2023Q3","351.18","312.63","249.68","317.14","272.34","286.86","0.74","14.84","11.89","17.12","17.13","10.38","347.70","309.38","245.59","280.74","290.66","13.49","11.12","14.51","15.21","9.21"
