"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Mortgage debt service ratio"

"DESCRIPTION"
"Note: DSR is debt service ratio."
"Sources: Regulatory filings of Canadian banks, TransUnion, Department of Finance Canada and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_MTG_MDSR_GT25_ALL","All mortgages, originations dataset, using RESL1","Share of all new mortgages (%) with a mortgage DSR greater than 25%, originations dataset, using RESL1 and mortgage insurance data"
"FVI_MTG_MDSR_GT25_UNINS","Uninsured mortgages, originations dataset, using RESL1","Share of new uninsured mortgages (%) with a mortgage DSR greater than 25%, originations dataset, using RESL1"
"FVI_MTG_MDSR_GT25_INS","Insured mortgages","Share of new insured mortgages (%) with a mortgage DSR greater than 25%, using mortgage insurance data"
"FVI_MEDIAN_MDSR_ALL","All mortgages, originations dataset, using RESL1","Median mortgage DSR (%), all mortgages, originations dataset, using RESL1 and mortgage insurance data"
"FVI_MEDIAN_MDSR_UNINS","Uninsured mortgages, originations dataset, using RESL1","Median mortgage DSR (%), by mortgage insurance status-Uninsured mortgages, originations dataset, using RESL1"
"FVI_MEDIAN_MDSR_INS","Insured mortgages","Median mortgage DSR (%), by mortgage insurance status-Insured mortgages, using mortgage insurance data"
"FVI_MTG_MDSR_GT25_FTHB","First-time homebuyers, originations dataset, using RESL1","Share of new mortgages (%) with a mortgage DSR greater than 25%, by type of homebuyer-First-time homebuyers, originations dataset, using RESL1"
"FVI_MTG_MDSR_GT25_INVESTORS","Investors, originations dataset, using RESL1","Share of new mortgages (%) with a mortgage DSR greater than 25%, by type of homebuyer-Investors, originations dataset, using RESL1"
"FVI_MTG_MDSR_GT25_REPEAT","Repeat homebuyers, originations dataset, using RESL1","Share of new mortgages (%) with a mortgage DSR greater than 25%, by type of homebuyer-Repeat homebuyers, originations dataset, using RESL1"
"FVI_MEDIAN_MDSR_FTHB","First-time homebuyers, originations dataset, using RESL1","Median mortgage DSR (%), by type of homebuyer-First-time homebuyers, originations dataset, using RESL1"
"FVI_MEDIAN_MDSR_INVESTORS","Investors, originations dataset, using RESL1","Median mortgage DSR (%), by type of homebuyer-Investors, originations dataset, using RESL1"
"FVI_MEDIAN_MDSR_REPEAT","Repeat homebuyers, originations dataset, using RESL1","Median mortgage DSR (%), by type of homebuyer-Repeat homebuyers, originations dataset, using RESL1"
"FVI_MTG_MDSR_GT25_ALL_MI_RESL2","All mortgages, enhanced dataset, using RESL2","Share of all new mortgages (%) with a mortgage DSR greater than 25%, enhanced dataset, using RESL2 and mortgage insurance data"
"FVI_MTG_MDSR_GT25_UNINS_RESL2","Uninsured mortgages, enhanced dataset, using RESL2","Share of new uninsured mortgages (%) with a mortgage DSR greater than 25%, enhanced dataset, using RESL2"
"FVI_MEDIAN_MDSR_ALL_MI_RESL2","All mortgages, enhanced dataset, using RESL2","Median mortgage DSR (%), all mortgages, enhanced dataset, using RESL2 and mortgage insurance data"
"FVI_MEDIAN_MDSR_UNINS_RESL2","Uninsured mortgages, enhanced dataset, using RESL2","Median mortgage DSR (%), by mortgage insurance status-Uninsured mortgages, enhanced dataset, using RESL2"
"FVI_MTG_MDSR_GT25_FTHB_RESL2","First-time homebuyers, enhanced dataset, using RESL2","Share of new mortgages (%) with a mortgage DSR greater than 25%, by type of homebuyer-First-time homebuyers, enhanced dataset, using RESL2"
"FVI_MTG_MDSR_GT25_INVESTORS_RESL2","Investors, enhanced dataset, using RESL2","Share of new mortgages (%) with a mortgage DSR greater than 25%, by type of homebuyer-Investors, enhanced dataset, using RESL2"
"FVI_MTG_MDSR_GT25_REPEAT_RESL2","Repeat homebuyers, enhanced dataset, using RESL2","Share of new mortgages (%) with a mortgage DSR greater than 25%, by type of homebuyer-Repeat homebuyers, enhanced dataset, using RESL2"
"FVI_MEDIAN_MDSR_FTHB_RESL2","First-time homebuyers, enhanced dataset, using RESL2","Median mortgage DSR (%), by type of homebuyer-First-time homebuyers, enhanced dataset, using RESL2"
"FVI_MEDIAN_MDSR_INVESTORS_RESL2","Investors, enhanced dataset, using RESL2","Median mortgage DSR (%), by type of homebuyer-Investors, enhanced dataset, using RESL2"
"FVI_MEDIAN_MDSR_REPEAT_RESL2","Repeat homebuyers, enhanced dataset, using RESL2","Median mortgage DSR (%), by type of homebuyer-Repeat homebuyers, enhanced dataset, using RESL2"

"OBSERVATIONS"
"date","FVI_MTG_MDSR_GT25_ALL","FVI_MTG_MDSR_GT25_UNINS","FVI_MTG_MDSR_GT25_INS","FVI_MEDIAN_MDSR_ALL","FVI_MEDIAN_MDSR_UNINS","FVI_MEDIAN_MDSR_INS","FVI_MTG_MDSR_GT25_FTHB","FVI_MTG_MDSR_GT25_INVESTORS","FVI_MTG_MDSR_GT25_REPEAT","FVI_MEDIAN_MDSR_FTHB","FVI_MEDIAN_MDSR_INVESTORS","FVI_MEDIAN_MDSR_REPEAT","FVI_MTG_MDSR_GT25_ALL_MI_RESL2","FVI_MTG_MDSR_GT25_UNINS_RESL2","FVI_MEDIAN_MDSR_ALL_MI_RESL2","FVI_MEDIAN_MDSR_UNINS_RESL2","FVI_MTG_MDSR_GT25_FTHB_RESL2","FVI_MTG_MDSR_GT25_INVESTORS_RESL2","FVI_MTG_MDSR_GT25_REPEAT_RESL2","FVI_MEDIAN_MDSR_FTHB_RESL2","FVI_MEDIAN_MDSR_INVESTORS_RESL2","FVI_MEDIAN_MDSR_REPEAT_RESL2"
"2014Q1","16.78","14.42","23.48","16.25","14.86","19.71","19.09","8.61","12.62","18.02","11.18","15.50","","","","","","","","","",""
"2014Q2","14.93","13.09","19.72","15.90","14.36","18.92","17.50","8.47","11.83","17.61","11.28","15.45","","","","","","","","","",""
"2014Q3","15.93","13.71","21.25","16.18","14.46","19.19","18.49","8.29","12.24","17.82","11.30","15.64","","","","","","","","","",""
"2014Q4","16.41","14.20","21.89","16.15","14.50","19.37","19.38","8.47","13.31","18.04","11.52","15.79","","","","","","","","","",""
"2015Q1","16.29","14.22","22.49","15.94","14.61","19.56","18.23","9.08","13.64","17.86","10.88","15.64","","","","","","","","","",""
"2015Q2","15.99","15.20","18.30","16.02","14.76","18.59","18.55","10.01","14.16","17.70","11.14","15.84","","","","","","","","","",""
"2015Q3","16.66","15.05","20.44","16.13","14.76","18.94","19.72","10.29","14.60","17.87","11.44","15.92","","","","","","","","","",""
"2015Q4","16.01","14.20","20.44","15.97","14.67","18.97","19.91","10.46","14.75","17.91","11.32","16.05","","","","","","","","","",""
"2016Q1","16.56","14.95","21.41","15.96","14.85","19.16","21.11","11.33","16.15","18.40","11.85","16.34","","","","","","","","","",""
"2016Q2","15.56","14.47","18.20","15.82","14.50","18.50","19.47","10.17","14.78","18.00","11.44","15.96","","","","","","","","","",""
"2016Q3","16.67","15.16","20.50","16.05","14.75","18.83","21.24","9.40","15.60","18.43","11.22","16.22","","","","","","","","","",""
"2016Q4","16.84","15.67","20.18","16.11","14.90","18.90","20.78","8.55","15.74","18.51","11.10","16.22","","","","","","","","","",""
"2017Q1","17.82","18.27","15.66","16.42","15.64","18.54","19.48","8.74","16.31","18.68","11.18","16.60","","","","","","","","","",""
"2017Q2","16.03","16.97","12.70","16.21","15.38","17.91","18.01","9.13","16.52","18.30","11.47","16.28","","","","","","","","","",""
"2017Q3","16.75","18.12","12.06","16.52","15.84","18.08","19.91","11.06","17.74","18.83","12.12","16.71","","","","","","","","","",""
"2017Q4","18.26","19.40","14.35","16.88","16.11","18.58","23.07","11.06","19.52","19.58","12.20","17.45","","","","","","","","","",""
"2018Q1","18.00","18.70","15.65","16.90","16.14","18.98","23.14","11.06","20.11","19.54","12.61","17.64","","","","","","","","","",""
"2018Q2","13.69","14.51","11.71","16.17","15.31","17.89","17.94","7.13","12.99","18.80","11.53","16.44","","","","","","","","","",""
"2018Q3","14.34","15.45","11.51","16.44","15.63","18.13","18.53","8.74","14.90","19.13","12.23","16.86","","","","","","","","","",""
"2018Q4","16.00","16.81","13.71","16.69","15.91","18.53","21.19","8.55","16.55","19.59","12.08","17.15","","","","","","","","","",""
"2019Q1","17.72","18.41","15.72","17.11","16.48","18.96","21.86","8.21","15.92","19.65","12.28","16.97","","","","","","","","","",""
"2019Q2","14.73","16.46","10.45","16.59","16.01","17.76","17.46","7.45","13.20","18.70","11.77","16.26","","","","","","","","","",""
"2019Q3","14.13","15.78","9.48","16.63","16.15","17.79","17.29","6.98","13.10","18.95","11.84","16.44","","","","","","","","","",""
"2019Q4","14.74","16.47","9.52","16.61","16.14","17.84","18.41","7.51","14.58","19.11","11.89","16.63","","","","","","","","","",""
"2020Q1","15.82","17.30","10.21","16.56","16.10","18.03","19.62","8.76","15.57","19.42","11.96","16.72","","","","","","","","","",""
"2020Q2","12.17","14.09","6.56","15.85","15.34","17.08","14.12","6.69","11.68","18.28","11.63","15.83","","","","","","","","","",""
"2020Q3","10.97","13.07","5.28","15.90","15.31","17.16","13.28","6.86","11.55","18.29","11.41","15.97","","","","","","","","","",""
"2020Q4","11.01","13.29","3.76","15.95","15.46","17.28","12.91","6.91","12.26","18.46","11.63","16.44","","","","","","","","","",""
"2021Q1","11.43","13.23","3.05","15.72","15.31","17.32","13.27","7.38","13.77","18.75","11.40","16.62","","","","","","","","","",""
"2021Q2","12.13","14.71","3.14","16.08","15.74","17.11","14.53","8.68","14.73","18.82","12.18","17.00","","","","","","","","","",""
"2021Q3","11.66","14.25","3.16","16.11","15.60","17.54","12.75","8.47","13.77","18.60","12.12","16.79","","","","","","","","","",""
"2021Q4","11.52","13.71","2.57","16.04","15.59","17.50","12.46","7.77","13.48","18.74","12.19","16.93","","","","","","","","","",""
"2022Q1","13.70","15.46","4.20","16.29","15.89","18.02","15.47","8.74","16.90","19.44","12.49","18.01","","","","","","","","","",""
"2022Q2","18.86","21.03","10.26","17.41","16.86","18.87","27.77","13.34","23.93","21.32","14.27","18.98","","","","","","","","","",""
"2022Q3","26.77","28.07","22.35","18.86","17.99","20.61","43.83","21.54","33.47","23.73","16.12","20.71","","","","","","","","","",""
"2022Q4","30.61","30.48","31.58","19.54","18.61","21.90","47.05","22.78","34.70","24.39","16.47","21.01","","","","","","","","","",""
"2023Q1","31.09","31.03","32.41","19.72","18.98","22.14","47.96","23.79","35.39","24.65","17.23","21.37","","","","","","","","","",""
"2023Q2","30.41","30.82","29.90","19.66","18.89","21.67","47.96","23.63","36.34","24.64","17.11","21.52","","","","","","","","","",""
"2023Q3","32.88","33.10","32.93","20.41","19.63","22.23","48.94","24.66","36.33","24.78","17.50","21.53","32.49","32.39","20.57","19.99","48.84","23.21","35.54","24.77","17.30","21.27"
"2023Q4","33.97","33.53","35.50","20.60","19.63","22.64","51.01","25.81","36.25","25.22","17.39","21.46","34.17","33.85","20.90","20.29","50.18","24.72","36.73","25.03","17.50","21.46"
