"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Liquidity"

"DESCRIPTION"
"Sources: Statistics Canada and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_NFB_CASH_DEBT_RATIO","Cash-to-debt ratio","Total cash-to-debt ratio for non-financial businesses"

"OBSERVATIONS"
"date","FVI_NFB_CASH_DEBT_RATIO"
"1990Q1","0.121"
"1990Q2","0.121"
"1990Q3","0.118"
"1990Q4","0.136"
"1991Q1","0.120"
"1991Q2","0.132"
"1991Q3","0.129"
"1991Q4","0.135"
"1992Q1","0.131"
"1992Q2","0.139"
"1992Q3","0.144"
"1992Q4","0.156"
"1993Q1","0.145"
"1993Q2","0.170"
"1993Q3","0.154"
"1993Q4","0.158"
"1994Q1","0.153"
"1994Q2","0.136"
"1994Q3","0.151"
"1994Q4","0.149"
"1995Q1","0.141"
"1995Q2","0.140"
"1995Q3","0.138"
"1995Q4","0.132"
"1996Q1","0.126"
"1996Q2","0.142"
"1996Q3","0.145"
"1996Q4","0.149"
"1997Q1","0.132"
"1997Q2","0.132"
"1997Q3","0.149"
"1997Q4","0.166"
"1998Q1","0.162"
"1998Q2","0.179"
"1998Q3","0.183"
"1998Q4","0.176"
"1999Q1","0.192"
"1999Q2","0.210"
"1999Q3","0.211"
"1999Q4","0.230"
"2000Q1","0.233"
"2000Q2","0.224"
"2000Q3","0.238"
"2000Q4","0.222"
"2001Q1","0.221"
"2001Q2","0.231"
"2001Q3","0.220"
"2001Q4","0.246"
"2002Q1","0.233"
"2002Q2","0.246"
"2002Q3","0.241"
"2002Q4","0.255"
"2003Q1","0.269"
"2003Q2","0.306"
"2003Q3","0.302"
"2003Q4","0.308"
"2004Q1","0.320"
"2004Q2","0.343"
"2004Q3","0.333"
"2004Q4","0.340"
"2005Q1","0.350"
"2005Q2","0.351"
"2005Q3","0.358"
"2005Q4","0.366"
"2006Q1","0.358"
"2006Q2","0.369"
"2006Q3","0.365"
"2006Q4","0.370"
"2007Q1","0.361"
"2007Q2","0.374"
"2007Q3","0.385"
"2007Q4","0.376"
"2008Q1","0.329"
"2008Q2","0.373"
"2008Q3","0.371"
"2008Q4","0.370"
"2009Q1","0.370"
"2009Q2","0.367"
"2009Q3","0.369"
"2009Q4","0.391"
"2010Q1","0.375"
"2010Q2","0.399"
"2010Q3","0.405"
"2010Q4","0.403"
"2011Q1","0.406"
"2011Q2","0.407"
"2011Q3","0.409"
"2011Q4","0.401"
"2012Q1","0.391"
"2012Q2","0.395"
"2012Q3","0.390"
"2012Q4","0.391"
"2013Q1","0.395"
"2013Q2","0.395"
"2013Q3","0.399"
"2013Q4","0.399"
"2014Q1","0.382"
"2014Q2","0.376"
"2014Q3","0.385"
"2014Q4","0.369"
"2015Q1","0.364"
"2015Q2","0.361"
"2015Q3","0.363"
"2015Q4","0.363"
"2016Q1","0.370"
"2016Q2","0.363"
"2016Q3","0.361"
"2016Q4","0.381"
"2017Q1","0.375"
"2017Q2","0.381"
"2017Q3","0.379"
"2017Q4","0.373"
"2018Q1","0.364"
"2018Q2","0.362"
"2018Q3","0.365"
"2018Q4","0.372"
"2019Q1","0.344"
"2019Q2","0.345"
"2019Q3","0.355"
"2019Q4","0.366"
"2020Q1","0.387"
"2020Q2","0.404"
"2020Q3","0.423"
"2020Q4","0.428"
"2021Q1","0.427"
"2021Q2","0.439"
"2021Q3","0.445"
"2021Q4","0.449"
"2022Q1","0.446"
"2022Q2","0.454"
"2022Q3","0.453"
"2022Q4","0.453"
"2023Q1","0.432"
"2023Q2","0.428"
"2023Q3","0.440"
"2023Q4","0.437"
"2024Q1","0.418"
"2024Q2","0.412"
"2024Q3","0.411"
"2024Q4","0.419"
"2025Q1","0.410"
"2025Q2","0.406"
"2025Q3","0.398"
"2025Q4","0.411"
