"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Debt serviceability"

"DESCRIPTION"
"Sources: Statistics Canada and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_NFB_ICR","Interest coverage ratio","Total interest coverage ratio for non-financial businesses"

"OBSERVATIONS"
"date","FVI_NFB_ICR"
"2012Q1","6.753"
"2012Q2","6.494"
"2012Q3","6.766"
"2012Q4","5.828"
"2013Q1","6.381"
"2013Q2","6.173"
"2013Q3","6.665"
"2013Q4","5.896"
"2014Q1","6.809"
"2014Q2","7.317"
"2014Q3","6.941"
"2014Q4","6.326"
"2015Q1","5.533"
"2015Q2","6.449"
"2015Q3","4.629"
"2015Q4","5.270"
"2016Q1","6.155"
"2016Q2","6.002"
"2016Q3","6.685"
"2016Q4","6.989"
"2017Q1","7.177"
"2017Q2","8.178"
"2017Q3","7.755"
"2017Q4","7.130"
"2018Q1","7.012"
"2018Q2","7.212"
"2018Q3","7.537"
"2018Q4","6.456"
"2019Q1","6.308"
"2019Q2","6.654"
"2019Q3","6.803"
"2019Q4","7.018"
"2020Q1","4.903"
"2020Q2","5.550"
"2020Q3","6.492"
"2020Q4","6.574"
"2021Q1","8.460"
"2021Q2","8.769"
"2021Q3","9.085"
"2021Q4","9.476"
"2022Q1","9.008"
"2022Q2","9.304"
"2022Q3","8.343"
"2022Q4","8.341"
"2023Q1","7.355"
"2023Q2","6.911"
"2023Q3","6.954"
"2023Q4","6.864"
"2024Q1","6.847"
"2024Q2","7.391"
"2024Q3","7.450"
"2024Q4","7.230"
"2025Q1","7.583"
"2025Q2","7.748"
"2025Q3","7.690"
"2025Q4","7.646"
