"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Number of insolvency filings"

"DESCRIPTION"
"Sources: Office of the Superintendent of Bankruptcy and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_NFB_INSOLVENCY","Number of insolvency filings","Insolvencies filed by businesses, all non-financial industries"

"OBSERVATIONS"
"date","FVI_NFB_INSOLVENCY"
"1987-01-01","686"
"1987-02-01","703"
"1987-03-01","739"
"1987-04-01","642"
"1987-05-01","627"
"1987-06-01","697"
"1987-07-01","567"
"1987-08-01","582"
"1987-09-01","615"
"1987-10-01","665"
"1987-11-01","641"
"1987-12-01","646"
"1988-01-01","658"
"1988-02-01","795"
"1988-03-01","778"
"1988-04-01","642"
"1988-05-01","682"
"1988-06-01","633"
"1988-07-01","604"
"1988-08-01","712"
"1988-09-01","687"
"1988-10-01","630"
"1988-11-01","762"
"1988-12-01","646"
"1989-01-01","645"
"1989-02-01","793"
"1989-03-01","763"
"1989-04-01","739"
"1989-05-01","775"
"1989-06-01","715"
"1989-07-01","603"
"1989-08-01","695"
"1989-09-01","690"
"1989-10-01","855"
"1989-11-01","831"
"1989-12-01","717"
"1990-01-01","857"
"1990-02-01","905"
"1990-03-01","937"
"1990-04-01","932"
"1990-05-01","945"
"1990-06-01","889"
"1990-07-01","867"
"1990-08-01","1055"
"1990-09-01","997"
"1990-10-01","1214"
"1990-11-01","1195"
"1990-12-01","1071"
"1991-01-01","1228"
"1991-02-01","1304"
"1991-03-01","1201"
"1991-04-01","1170"
"1991-05-01","1159"
"1991-06-01","995"
"1991-07-01","1035"
"1991-08-01","1073"
"1991-09-01","989"
"1991-10-01","1219"
"1991-11-01","1210"
"1991-12-01","1021"
"1992-01-01","1227"
"1992-02-01","1169"
"1992-03-01","1324"
"1992-04-01","1195"
"1992-05-01","1109"
"1992-06-01","1336"
"1992-07-01","1149"
"1992-08-01","1079"
"1992-09-01","1273"
"1992-10-01","1204"
"1992-11-01","1231"
"1992-12-01","1128"
"1993-01-01","1092"
"1993-02-01","1282"
"1993-03-01","1360"
"1993-04-01","1136"
"1993-05-01","1025"
"1993-06-01","1088"
"1993-07-01","922"
"1993-08-01","904"
"1993-09-01","1072"
"1993-10-01","1088"
"1993-11-01","1107"
"1993-12-01","1025"
"1994-01-01","942"
"1994-02-01","993"
"1994-03-01","1251"
"1994-04-01","1012"
"1994-05-01","961"
"1994-06-01","1075"
"1994-07-01","839"
"1994-08-01","888"
"1994-09-01","959"
"1994-10-01","1003"
"1994-11-01","1140"
"1994-12-01","983"
"1995-01-01","962"
"1995-02-01","1176"
"1995-03-01","1337"
"1995-04-01","1052"
"1995-05-01","1184"
"1995-06-01","1134"
"1995-07-01","1003"
"1995-08-01","1082"
"1995-09-01","1066"
"1995-10-01","1183"
"1995-11-01","1281"
"1995-12-01","1170"
"1996-01-01","1335"
"1996-02-01","1368"
"1996-03-01","1350"
"1996-04-01","1317"
"1996-05-01","1338"
"1996-06-01","1092"
"1996-07-01","1095"
"1996-08-01","1106"
"1996-09-01","1179"
"1996-10-01","1218"
"1996-11-01","1202"
"1996-12-01","1040"
"1997-01-01","1150"
"1997-02-01","1286"
"1997-03-01","1155"
"1997-04-01","1306"
"1997-05-01","1158"
"1997-06-01","1044"
"1997-07-01","1091"
"1997-08-01","939"
"1997-09-01","1006"
"1997-10-01","1097"
"1997-11-01","1014"
"1997-12-01","1000"
"1998-01-01","926"
"1998-02-01","1104"
"1998-03-01","1097"
"1998-04-01","1025"
"1998-05-01","952"
"1998-06-01","1038"
"1998-07-01","955"
"1998-08-01","840"
"1998-09-01","995"
"1998-10-01","1046"
"1998-11-01","1075"
"1998-12-01","913"
"1999-01-01","942"
"1999-02-01","990"
"1999-03-01","1183"
"1999-04-01","970"
"1999-05-01","928"
"1999-06-01","1027"
"1999-07-01","844"
"1999-08-01","812"
"1999-09-01","904"
"1999-10-01","886"
"1999-11-01","1051"
"1999-12-01","932"
"2000-01-01","923"
"2000-02-01","1061"
"2000-03-01","1156"
"2000-04-01","904"
"2000-05-01","1048"
"2000-06-01","965"
"2000-07-01","926"
"2000-08-01","896"
"2000-09-01","933"
"2000-10-01","1027"
"2000-11-01","1026"
"2000-12-01","804"
"2001-01-01","1031"
"2001-02-01","1026"
"2001-03-01","1197"
"2001-04-01","1078"
"2001-05-01","1091"
"2001-06-01","1017"
"2001-07-01","838"
"2001-08-01","893"
"2001-09-01","779"
"2001-10-01","1206"
"2001-11-01","1097"
"2001-12-01","835"
"2002-01-01","1071"
"2002-02-01","999"
"2002-03-01","1062"
"2002-04-01","1064"
"2002-05-01","1044"
"2002-06-01","860"
"2002-07-01","847"
"2002-08-01","899"
"2002-09-01","828"
"2002-10-01","920"
"2002-11-01","866"
"2002-12-01","774"
"2003-01-01","897"
"2003-02-01","892"
"2003-03-01","1026"
"2003-04-01","962"
"2003-05-01","919"
"2003-06-01","889"
"2003-07-01","810"
"2003-08-01","697"
"2003-09-01","866"
"2003-10-01","913"
"2003-11-01","833"
"2003-12-01","829"
"2004-01-01","802"
"2004-02-01","910"
"2004-03-01","1040"
"2004-04-01","840"
"2004-05-01","744"
"2004-06-01","873"
"2004-07-01","745"
"2004-08-01","717"
"2004-09-01","710"
"2004-10-01","737"
"2004-11-01","822"
"2004-12-01","777"
"2005-01-01","728"
"2005-02-01","867"
"2005-03-01","935"
"2005-04-01","867"
"2005-05-01","821"
"2005-06-01","750"
"2005-07-01","634"
"2005-08-01","641"
"2005-09-01","700"
"2005-10-01","702"
"2005-11-01","714"
"2005-12-01","684"
"2006-01-01","735"
"2006-02-01","718"
"2006-03-01","822"
"2006-04-01","659"
"2006-05-01","753"
"2006-06-01","725"
"2006-07-01","544"
"2006-08-01","565"
"2006-09-01","606"
"2006-10-01","708"
"2006-11-01","639"
"2006-12-01","593"
"2007-01-01","657"
"2007-02-01","702"
"2007-03-01","716"
"2007-04-01","670"
"2007-05-01","646"
"2007-06-01","618"
"2007-07-01","580"
"2007-08-01","590"
"2007-09-01","544"
"2007-10-01","605"
"2007-11-01","629"
"2007-12-01","550"
"2008-01-01","619"
"2008-02-01","669"
"2008-03-01","698"
"2008-04-01","705"
"2008-05-01","651"
"2008-06-01","540"
"2008-07-01","562"
"2008-08-01","567"
"2008-09-01","560"
"2008-10-01","622"
"2008-11-01","589"
