"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Profitability"

"DESCRIPTION"
"Sources: Statistics Canada and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_NFB_PROFIT_MARGIN","Profit margin","Total profit margin for non-financial businesses"

"OBSERVATIONS"
"date","FVI_NFB_PROFIT_MARGIN"
"2010Q1","9.299"
"2010Q2","8.342"
"2010Q3","9.245"
"2010Q4","5.552"
"2011Q1","8.817"
"2011Q2","9.317"
"2011Q3","8.784"
"2011Q4","8.394"
"2012Q1","8.589"
"2012Q2","7.827"
"2012Q3","8.312"
"2012Q4","6.681"
"2013Q1","7.832"
"2013Q2","7.385"
"2013Q3","8.385"
"2013Q4","7.180"
"2014Q1","8.465"
"2014Q2","9.117"
"2014Q3","8.498"
"2014Q4","7.570"
"2015Q1","6.523"
"2015Q2","8.031"
"2015Q3","4.793"
"2015Q4","6.103"
"2016Q1","7.824"
"2016Q2","7.265"
"2016Q3","8.551"
"2016Q4","9.291"
"2017Q1","9.340"
"2017Q2","10.589"
"2017Q3","10.086"
"2017Q4","9.196"
"2018Q1","9.442"
"2018Q2","9.757"
"2018Q3","10.319"
"2018Q4","8.757"
"2019Q1","8.784"
"2019Q2","9.121"
"2019Q3","9.489"
"2019Q4","9.808"
"2020Q1","5.029"
"2020Q2","6.404"
"2020Q3","8.554"
"2020Q4","8.144"
"2021Q1","10.687"
"2021Q2","10.973"
"2021Q3","11.439"
"2021Q4","11.727"
"2022Q1","11.216"
"2022Q2","11.453"
"2022Q3","10.583"
"2022Q4","10.613"
"2023Q1","10.398"
"2023Q2","9.999"
"2023Q3","10.550"
"2023Q4","10.255"
"2024Q1","9.836"
"2024Q2","9.964"
"2024Q3","9.818"
"2024Q4","9.772"
"2025Q1","9.851"
"2025Q2","10.186"
"2025Q3","10.132"
"2025Q4","10.035"
