"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Types of mortgaged homebuyers"

"DESCRIPTION"
"Sources: Regulatory filings of Canadian banks, TransUnion and Bank of Canada calculations"

"LINK"
"https://www.bankofcanada.ca/?p=229200"

"SERIES"
"id","label","description"
"FVI_VOL_MTG_FTHB","First-time homebuyers","Share of mortgaged home purchases (%),  by type of homebuyer-First-time homebuyers, originations dataset, using RESL1"
"FVI_VOL_MTG_REPEAT","Repeat homebuyers","Share of mortgaged home purchases (%),  by type of homebuyer-Repeat homebuyers, originations dataset, using RESL1"
"FVI_VOL_MTG_INVESTORS","Investors","Share of mortgaged home purchases (%),  by type of homebuyer-Investors, originations dataset, using RESL1"
"FVI_VOL_MTG_FTHB_RESL2","First-time homebuyers","Share of mortgaged home purchases (%), by type of homebuyer-First-time homebuyers, enhanced dataset, using RESL2"
"FVI_VOL_MTG_REPEAT_RESL2","Repeat homebuyers","Share of mortgaged home purchases (%), by type of homebuyer-Repeat homebuyers, enhanced dataset, using RESL2"
"FVI_VOL_MTG_INVESTORS_RESL2","Investors","Share of mortgaged home purchases (%), by type of homebuyer-Investors, enhanced dataset, using RESL2"

"OBSERVATIONS"
"date","FVI_VOL_MTG_FTHB","FVI_VOL_MTG_REPEAT","FVI_VOL_MTG_INVESTORS","FVI_VOL_MTG_FTHB_RESL2","FVI_VOL_MTG_REPEAT_RESL2","FVI_VOL_MTG_INVESTORS_RESL2"
"2014Q1","50.34","29.84","19.81","","",""
"2014Q2","50.84","31.08","18.08","","",""
"2014Q3","50.05","32.71","17.24","","",""
"2014Q4","50.28","29.30","20.42","","",""
"2015Q1","50.51","28.40","21.08","","",""
"2015Q2","50.94","29.92","19.14","","",""
"2015Q3","48.90","32.03","19.07","","",""
"2015Q4","49.29","30.24","20.47","","",""
"2016Q1","49.63","28.21","22.16","","",""
"2016Q2","49.08","30.27","20.65","","",""
"2016Q3","48.15","31.58","20.27","","",""
"2016Q4","49.33","30.37","20.30","","",""
"2017Q1","49.36","28.13","22.51","","",""
"2017Q2","48.72","29.20","22.07","","",""
"2017Q3","46.79","31.72","21.48","","",""
"2017Q4","47.67","30.15","22.18","","",""
"2018Q1","47.41","29.74","22.85","","",""
"2018Q2","47.95","31.36","20.69","","",""
"2018Q3","46.57","32.79","20.64","","",""
"2018Q4","47.75","30.85","21.39","","",""
"2019Q1","48.37","28.68","22.95","","",""
"2019Q2","49.21","30.86","19.92","","",""
"2019Q3","47.94","32.44","19.62","","",""
"2019Q4","47.82","31.16","21.02","","",""
"2020Q1","46.77","30.92","22.31","","",""
"2020Q2","48.66","31.64","19.70","","",""
"2020Q3","47.44","32.24","20.32","","",""
"2020Q4","44.71","33.54","21.75","","",""
"2021Q1","43.89","32.10","24.00","","",""
"2021Q2","42.64","33.75","23.61","","",""
"2021Q3","41.15","34.18","24.68","","",""
"2021Q4","41.96","31.95","26.08","","",""
"2022Q1","41.95","29.73","28.33","","",""
"2022Q2","43.14","31.06","25.80","","",""
"2022Q3","42.37","31.16","26.47","","",""
"2022Q4","43.03","28.25","28.72","","",""
"2023Q1","42.73","27.39","29.88","","",""
"2023Q2","45.58","28.78","25.65","","",""
"2023Q3","44.46","30.32","25.21","43.48","31.48","25.03"
"2023Q4","44.10","27.44","28.46","43.27","28.36","28.37"
"2024Q1","44.04","25.51","30.45","44.35","26.21","29.44"
"2024Q2","","","","45.42","29.50","25.08"
"2024Q3","","","","42.66","32.09","25.25"
"2024Q4","","","","42.90","31.32","25.77"
"2025Q1","","","","42.97","30.76","26.27"
"2025Q2","","","","43.47","32.89","23.64"
"2025Q3","","","","42.92","31.97","25.12"
