"Household disposable income per capita"
"Category","Canada"
"2007-01-01 00:00:00",100
"2007-04-01 00:00:00",99.39
"2007-07-01 00:00:00",99.41
"2007-10-01 00:00:00",100.63
"2008-01-01 00:00:00",102.06
"2008-04-01 00:00:00",102.8
"2008-07-01 00:00:00",103.54
"2008-10-01 00:00:00",103.76
"2009-01-01 00:00:00",103.7
"2009-04-01 00:00:00",103.69
"2009-07-01 00:00:00",104.78
"2009-10-01 00:00:00",105
"2010-01-01 00:00:00",107.07
"2010-04-01 00:00:00",105.7
"2010-07-01 00:00:00",106.53
"2010-10-01 00:00:00",107.36
"2011-01-01 00:00:00",107.18
"2011-04-01 00:00:00",106.59
"2011-07-01 00:00:00",106.77
"2011-10-01 00:00:00",107.77
"2012-01-01 00:00:00",108.11
"2012-04-01 00:00:00",108.24
"2012-07-01 00:00:00",109.25
"2012-10-01 00:00:00",109.23
"2013-01-01 00:00:00",110.55
"2013-04-01 00:00:00",111.03
"2013-07-01 00:00:00",110.89
"2013-10-01 00:00:00",111.3
"2014-01-01 00:00:00",110.95
"2014-04-01 00:00:00",110.72
"2014-07-01 00:00:00",111.82
"2014-10-01 00:00:00",111.48
"2015-01-01 00:00:00",113.86
"2015-04-01 00:00:00",114.25
"2015-07-01 00:00:00",114.18
"2015-10-01 00:00:00",113.78
"2016-01-01 00:00:00",110.86
"2016-04-01 00:00:00",113
"2016-07-01 00:00:00",113.18
"2016-10-01 00:00:00",113.52
"2017-01-01 00:00:00",113.49
"2017-04-01 00:00:00",115.12
"2017-07-01 00:00:00",117
"2017-10-01 00:00:00",116.87
"2018-01-01 00:00:00",116.41
"2018-04-01 00:00:00",115.64
"2018-07-01 00:00:00",115.32
"2018-10-01 00:00:00",116.37
"2019-01-01 00:00:00",116.26
"2019-04-01 00:00:00",117.33
"2019-07-01 00:00:00",117.84
"2019-10-01 00:00:00",118.17
"2020-01-01 00:00:00",119.35
"2020-04-01 00:00:00",131.27
"2020-07-01 00:00:00",125.39
"2020-10-01 00:00:00",123.58
"2021-01-01 00:00:00",127.12
"2021-04-01 00:00:00",125.52
"2021-07-01 00:00:00",125.17
"2021-10-01 00:00:00",122.1
"2022-01-01 00:00:00",122.64
"2022-04-01 00:00:00",121.83
"2022-07-01 00:00:00",121.08
"2022-10-01 00:00:00",122.43
"2023-01-01 00:00:00",120.44
"2023-04-01 00:00:00",121.18
"2023-07-01 00:00:00",122.35
"2023-10-01 00:00:00",122.1
"2024-01-01 00:00:00",121.89
"2024-04-01 00:00:00",123.15
"2024-07-01 00:00:00",124.58
"2024-10-01 00:00:00",124.57
"2025-01-01 00:00:00",124.44
"2025-04-01 00:00:00",124.81
"2025-07-01 00:00:00",125.07
"2025-10-01 00:00:00",125.14
