"Household savings rate"
"Category","Canada"
"2007-01-01 00:00:00",8.55
"2007-04-01 00:00:00",6.33
"2007-07-01 00:00:00",5.93
"2007-10-01 00:00:00",5.74
"2008-01-01 00:00:00",6.93
"2008-04-01 00:00:00",7.37
"2008-07-01 00:00:00",7.51
"2008-10-01 00:00:00",9.18
"2009-01-01 00:00:00",9.09
"2009-04-01 00:00:00",9.12
"2009-07-01 00:00:00",9.16
"2009-10-01 00:00:00",8.82
"2010-01-01 00:00:00",9.72
"2010-04-01 00:00:00",8.25
"2010-07-01 00:00:00",8.37
"2010-10-01 00:00:00",8.64
"2011-01-01 00:00:00",8.86
"2011-04-01 00:00:00",8.56
"2011-07-01 00:00:00",8.45
"2011-10-01 00:00:00",8.48
"2012-01-01 00:00:00",8.71
"2012-04-01 00:00:00",8.94
"2012-07-01 00:00:00",9.51
"2012-10-01 00:00:00",9.26
"2013-01-01 00:00:00",9.58
"2013-04-01 00:00:00",9.18
"2013-07-01 00:00:00",9.02
"2013-10-01 00:00:00",9.02
"2014-01-01 00:00:00",8.41
"2014-04-01 00:00:00",8.07
"2014-07-01 00:00:00",8.02
"2014-10-01 00:00:00",7.71
"2015-01-01 00:00:00",9.16
"2015-04-01 00:00:00",9.11
"2015-07-01 00:00:00",8.34
"2015-10-01 00:00:00",7.66
"2016-01-01 00:00:00",5.21
"2016-04-01 00:00:00",6.97
"2016-07-01 00:00:00",6.76
"2016-10-01 00:00:00",6.86
"2017-01-01 00:00:00",5.84
"2017-04-01 00:00:00",6.15
"2017-07-01 00:00:00",7.16
"2017-10-01 00:00:00",7.03
"2018-01-01 00:00:00",6.22
"2018-04-01 00:00:00",5.1
"2018-07-01 00:00:00",4.91
"2018-10-01 00:00:00",5.93
"2019-01-01 00:00:00",5.75
"2019-04-01 00:00:00",6.81
"2019-07-01 00:00:00",7.19
"2019-10-01 00:00:00",7.3
"2020-01-01 00:00:00",9.78
"2020-04-01 00:00:00",29.11
"2020-07-01 00:00:00",17.4
"2020-10-01 00:00:00",15.45
"2021-01-01 00:00:00",17.74
"2021-04-01 00:00:00",16.78
"2021-07-01 00:00:00",12.37
"2021-10-01 00:00:00",9.43
"2022-01-01 00:00:00",9.76
"2022-04-01 00:00:00",6.65
"2022-07-01 00:00:00",5.94
"2022-10-01 00:00:00",7.36
"2023-01-01 00:00:00",5.95
"2023-04-01 00:00:00",6.91
"2023-07-01 00:00:00",8.41
"2023-10-01 00:00:00",8.51
"2024-01-01 00:00:00",8.57
"2024-04-01 00:00:00",9.94
"2024-07-01 00:00:00",10.48
"2024-10-01 00:00:00",10.24
"2025-01-01 00:00:00",10.05
"2025-04-01 00:00:00",9.36
"2025-07-01 00:00:00",10.01
"2025-10-01 00:00:00",9.42
