"GDP per capita"
"Category","Canada"
"2007-01-01 00:00:00",100
"2007-04-01 00:00:00",100.76
"2007-07-01 00:00:00",100.82
"2007-10-01 00:00:00",100.6
"2008-01-01 00:00:00",100.53
"2008-04-01 00:00:00",100.66
"2008-07-01 00:00:00",101.12
"2008-10-01 00:00:00",99.57
"2009-01-01 00:00:00",97.17
"2009-04-01 00:00:00",95.88
"2009-07-01 00:00:00",95.97
"2009-10-01 00:00:00",96.71
"2010-01-01 00:00:00",97.74
"2010-04-01 00:00:00",98.02
"2010-07-01 00:00:00",98.37
"2010-10-01 00:00:00",99.1
"2011-01-01 00:00:00",99.76
"2011-04-01 00:00:00",99.75
"2011-07-01 00:00:00",100.8
"2011-10-01 00:00:00",101.25
"2012-01-01 00:00:00",101.14
"2012-04-01 00:00:00",101.25
"2012-07-01 00:00:00",101.03
"2012-10-01 00:00:00",100.88
"2013-01-01 00:00:00",101.65
"2013-04-01 00:00:00",102.02
"2013-07-01 00:00:00",102.49
"2013-10-01 00:00:00",103.19
"2014-01-01 00:00:00",103.25
"2014-04-01 00:00:00",103.98
"2014-07-01 00:00:00",104.64
"2014-10-01 00:00:00",105
"2015-01-01 00:00:00",104.37
"2015-04-01 00:00:00",103.98
"2015-07-01 00:00:00",104.07
"2015-10-01 00:00:00",103.79
"2016-01-01 00:00:00",104.26
"2016-04-01 00:00:00",103.46
"2016-07-01 00:00:00",104.13
"2016-10-01 00:00:00",104.29
"2017-01-01 00:00:00",105.44
"2017-04-01 00:00:00",106.3
"2017-07-01 00:00:00",105.9
"2017-10-01 00:00:00",105.93
"2018-01-01 00:00:00",106.93
"2018-04-01 00:00:00",107.46
"2018-07-01 00:00:00",107.51
"2018-10-01 00:00:00",107.23
"2019-01-01 00:00:00",107.26
"2019-04-01 00:00:00",108.15
"2019-07-01 00:00:00",107.93
"2019-10-01 00:00:00",107.63
"2020-01-01 00:00:00",105.26
"2020-04-01 00:00:00",93.48
"2020-07-01 00:00:00",101.92
"2020-10-01 00:00:00",103.84
"2021-01-01 00:00:00",105.52
"2021-04-01 00:00:00",105.17
"2021-07-01 00:00:00",107.01
"2021-10-01 00:00:00",108.3
"2022-01-01 00:00:00",109.12
"2022-04-01 00:00:00",110
"2022-07-01 00:00:00",110.16
"2022-10-01 00:00:00",109.29
"2023-01-01 00:00:00",109.83
"2023-04-01 00:00:00",109.38
"2023-07-01 00:00:00",108.56
"2023-10-01 00:00:00",107.49
"2024-01-01 00:00:00",107.59
"2024-04-01 00:00:00",107.77
"2024-07-01 00:00:00",107.93
"2024-10-01 00:00:00",108.08
"2025-01-01 00:00:00",108.43
"2025-04-01 00:00:00",108.1
"2025-07-01 00:00:00",108.62
"2025-10-01 00:00:00",108.65
