"Household consumption expenditure per capita"
"Category","Canada"
"2007-04-01 00:00:00",1.29
"2007-07-01 00:00:00",0.61
"2007-10-01 00:00:00",1.5
"2008-01-01 00:00:00",0.7
"2008-04-01 00:00:00",-0.03
"2008-07-01 00:00:00",-0.27
"2008-10-01 00:00:00",-1.54
"2009-01-01 00:00:00",-0.5
"2009-04-01 00:00:00",0.51
"2009-07-01 00:00:00",0.6
"2009-10-01 00:00:00",0.24
"2010-01-01 00:00:00",0.96
"2010-04-01 00:00:00",0.62
"2010-07-01 00:00:00",0.46
"2010-10-01 00:00:00",0.58
"2011-01-01 00:00:00",0.12
"2011-04-01 00:00:00",0.27
"2011-07-01 00:00:00",0.11
"2011-10-01 00:00:00",0.25
"2012-01-01 00:00:00",0.39
"2012-04-01 00:00:00",-0.08
"2012-07-01 00:00:00",0.26
"2012-10-01 00:00:00",0.19
"2013-01-01 00:00:00",0.53
"2013-04-01 00:00:00",0.7
"2013-07-01 00:00:00",0.34
"2013-10-01 00:00:00",0.23
"2014-01-01 00:00:00",0.18
"2014-04-01 00:00:00",0.7
"2014-07-01 00:00:00",0.42
"2014-10-01 00:00:00",0.41
"2015-01-01 00:00:00",0.13
"2015-04-01 00:00:00",0.44
"2015-07-01 00:00:00",0.48
"2015-10-01 00:00:00",0.43
"2016-01-01 00:00:00",0
"2016-04-01 00:00:00",0.2
"2016-07-01 00:00:00",0.29
"2016-10-01 00:00:00",0.3
"2017-01-01 00:00:00",0.9
"2017-04-01 00:00:00",1.05
"2017-07-01 00:00:00",0.55
"2017-10-01 00:00:00",0.09
"2018-01-01 00:00:00",0.45
"2018-04-01 00:00:00",0.31
"2018-07-01 00:00:00",0.09
"2018-10-01 00:00:00",-0.49
"2019-01-01 00:00:00",0.33
"2019-04-01 00:00:00",-0.02
"2019-07-01 00:00:00",-0.01
"2019-10-01 00:00:00",0.16
"2020-01-01 00:00:00",-2.33
"2020-04-01 00:00:00",-14.32
"2020-07-01 00:00:00",12.53
"2020-10-01 00:00:00",0.55
"2021-01-01 00:00:00",0.32
"2021-04-01 00:00:00",-0.27
"2021-07-01 00:00:00",5.01
"2021-10-01 00:00:00",0.45
"2022-01-01 00:00:00",0.52
"2022-04-01 00:00:00",2.32
"2022-07-01 00:00:00",0.03
"2022-10-01 00:00:00",-0.34
"2023-01-01 00:00:00",-0.02
"2023-04-01 00:00:00",-0.51
"2023-07-01 00:00:00",-0.58
"2023-10-01 00:00:00",-0.33
"2024-01-01 00:00:00",-0.16
"2024-04-01 00:00:00",-0.28
"2024-07-01 00:00:00",0.46
"2024-10-01 00:00:00",0.08
"2025-01-01 00:00:00",0.11
"2025-04-01 00:00:00",1.06
"2025-07-01 00:00:00",-0.3
"2025-10-01 00:00:00",0.61
