"Net cash transfers to households"
"Category","Canada"
"2007-01-01 00:00:00",84.43
"2007-04-01 00:00:00",82.66
"2007-07-01 00:00:00",82.84
"2007-10-01 00:00:00",83.44
"2008-01-01 00:00:00",83.42
"2008-04-01 00:00:00",84.07
"2008-07-01 00:00:00",85.15
"2008-10-01 00:00:00",85.23
"2009-01-01 00:00:00",85.76
"2009-04-01 00:00:00",86.23
"2009-07-01 00:00:00",87.54
"2009-10-01 00:00:00",88.25
"2010-01-01 00:00:00",89.5
"2010-04-01 00:00:00",87.69
"2010-07-01 00:00:00",87.95
"2010-10-01 00:00:00",88.11
"2011-01-01 00:00:00",86.96
"2011-04-01 00:00:00",86.57
"2011-07-01 00:00:00",86.15
"2011-10-01 00:00:00",86.96
"2012-01-01 00:00:00",86.53
"2012-04-01 00:00:00",85.97
"2012-07-01 00:00:00",86.15
"2012-10-01 00:00:00",85.88
"2013-01-01 00:00:00",86.7
"2013-04-01 00:00:00",86.65
"2013-07-01 00:00:00",86.36
"2013-10-01 00:00:00",86.41
"2014-01-01 00:00:00",86.02
"2014-04-01 00:00:00",85.72
"2014-07-01 00:00:00",86.24
"2014-10-01 00:00:00",85.94
"2015-01-01 00:00:00",86.64
"2015-04-01 00:00:00",86.27
"2015-07-01 00:00:00",86.48
"2015-10-01 00:00:00",86.06
"2016-01-01 00:00:00",85.71
"2016-04-01 00:00:00",87.11
"2016-07-01 00:00:00",87.52
"2016-10-01 00:00:00",87.63
"2017-01-01 00:00:00",87.41
"2017-04-01 00:00:00",87.74
"2017-07-01 00:00:00",87.67
"2017-10-01 00:00:00",87.53
"2018-01-01 00:00:00",87.31
"2018-04-01 00:00:00",87.11
"2018-07-01 00:00:00",86.94
"2018-10-01 00:00:00",87.44
"2019-01-01 00:00:00",87.07
"2019-04-01 00:00:00",87.35
"2019-07-01 00:00:00",87.31
"2019-10-01 00:00:00",87.22
"2020-01-01 00:00:00",89.26
"2020-04-01 00:00:00",104.56
"2020-07-01 00:00:00",95.28
"2020-10-01 00:00:00",92.15
"2021-01-01 00:00:00",93.03
"2021-04-01 00:00:00",91.62
"2021-07-01 00:00:00",90.12
"2021-10-01 00:00:00",87.96
"2022-01-01 00:00:00",87.55
"2022-04-01 00:00:00",87.63
"2022-07-01 00:00:00",87.7
"2022-10-01 00:00:00",89.04
"2023-01-01 00:00:00",87.38
"2023-04-01 00:00:00",87.17
"2023-07-01 00:00:00",87.98
"2023-10-01 00:00:00",87.67
"2024-01-01 00:00:00",87.38
"2024-04-01 00:00:00",87.71
"2024-07-01 00:00:00",87.97
"2024-10-01 00:00:00",87.78
"2025-01-01 00:00:00",87.92
"2025-04-01 00:00:00",87.75
"2025-07-01 00:00:00",87.28
"2025-10-01 00:00:00",87.38
