"Household indebtedness"
"Category","Canada"
"2007-01-01 00:00:00",140.46
"2007-04-01 00:00:00",143.51
"2007-07-01 00:00:00",146.29
"2007-10-01 00:00:00",148.48
"2008-01-01 00:00:00",149.27
"2008-04-01 00:00:00",151.47
"2008-07-01 00:00:00",152.58
"2008-10-01 00:00:00",152.64
"2009-01-01 00:00:00",152.97
"2009-04-01 00:00:00",156.14
"2009-07-01 00:00:00",158.69
"2009-10-01 00:00:00",160.52
"2010-01-01 00:00:00",159.27
"2010-04-01 00:00:00",161.2
"2010-07-01 00:00:00",161.87
"2010-10-01 00:00:00",162.38
"2011-01-01 00:00:00",162.73
"2011-04-01 00:00:00",164.42
"2011-07-01 00:00:00",165.74
"2011-10-01 00:00:00",165.93
"2012-01-01 00:00:00",165.07
"2012-04-01 00:00:00",165.96
"2012-07-01 00:00:00",166.39
"2012-10-01 00:00:00",166.36
"2013-01-01 00:00:00",165.11
"2013-04-01 00:00:00",165.55
"2013-07-01 00:00:00",166.36
"2013-10-01 00:00:00",165.99
"2014-01-01 00:00:00",165.48
"2014-04-01 00:00:00",166.72
"2014-07-01 00:00:00",167.89
"2014-10-01 00:00:00",168.11
"2015-01-01 00:00:00",167.24
"2015-04-01 00:00:00",168.45
"2015-07-01 00:00:00",169.75
"2015-10-01 00:00:00",170.14
"2016-01-01 00:00:00",171.64
"2016-04-01 00:00:00",174.62
"2016-07-01 00:00:00",176.95
"2016-10-01 00:00:00",178.21
"2017-01-01 00:00:00",177.8
"2017-04-01 00:00:00",179.17
"2017-07-01 00:00:00",179.21
"2017-10-01 00:00:00",178.55
"2018-01-01 00:00:00",177.28
"2018-04-01 00:00:00",178.2
"2018-07-01 00:00:00",179.48
"2018-10-01 00:00:00",179.85
"2019-01-01 00:00:00",178.99
"2019-04-01 00:00:00",179.49
"2019-07-01 00:00:00",179.28
"2019-10-01 00:00:00",178.76
"2020-01-01 00:00:00",176.62
"2020-04-01 00:00:00",171.85
"2020-07-01 00:00:00",171.57
"2020-10-01 00:00:00",171.55
"2021-01-01 00:00:00",169.25
"2021-04-01 00:00:00",174.61
"2021-07-01 00:00:00",176.72
"2021-10-01 00:00:00",178.44
"2022-01-01 00:00:00",179.78
"2022-04-01 00:00:00",182.49
"2022-07-01 00:00:00",183.21
"2022-10-01 00:00:00",180.86
"2023-01-01 00:00:00",178.71
"2023-04-01 00:00:00",178.82
"2023-07-01 00:00:00",177.55
"2023-10-01 00:00:00",176.55
"2024-01-01 00:00:00",173.81
"2024-04-01 00:00:00",173.2
"2024-07-01 00:00:00",172.57
"2024-10-01 00:00:00",171.76
"2025-01-01 00:00:00",169.57
"2025-04-01 00:00:00",170.18
"2025-07-01 00:00:00",171.1
"2025-10-01 00:00:00",171.56
