"Unemployment rate"
"Category","Canada"
"2007-01-01 00:00:00",6.33
"2007-04-01 00:00:00",6.2
"2007-07-01 00:00:00",6
"2007-10-01 00:00:00",6.1
"2008-01-01 00:00:00",6.13
"2008-04-01 00:00:00",6.17
"2008-07-01 00:00:00",6.23
"2008-10-01 00:00:00",6.7
"2009-01-01 00:00:00",8
"2009-04-01 00:00:00",8.63
"2009-07-01 00:00:00",8.67
"2009-10-01 00:00:00",8.6
"2010-01-01 00:00:00",8.37
"2010-04-01 00:00:00",8.13
"2010-07-01 00:00:00",8.2
"2010-10-01 00:00:00",7.93
"2011-01-01 00:00:00",7.8
"2011-04-01 00:00:00",7.73
"2011-07-01 00:00:00",7.43
"2011-10-01 00:00:00",7.53
"2012-01-01 00:00:00",7.57
"2012-04-01 00:00:00",7.47
"2012-07-01 00:00:00",7.37
"2012-10-01 00:00:00",7.37
"2013-01-01 00:00:00",7.17
"2013-04-01 00:00:00",7.17
"2013-07-01 00:00:00",7.23
"2013-10-01 00:00:00",7.27
"2014-01-01 00:00:00",7.23
"2014-04-01 00:00:00",7.2
"2014-07-01 00:00:00",7.03
"2014-10-01 00:00:00",6.77
"2015-01-01 00:00:00",6.87
"2015-04-01 00:00:00",6.93
"2015-07-01 00:00:00",7.07
"2015-10-01 00:00:00",7.13
"2016-01-01 00:00:00",7.23
"2016-04-01 00:00:00",7.13
"2016-07-01 00:00:00",6.97
"2016-10-01 00:00:00",6.87
"2017-01-01 00:00:00",6.73
"2017-04-01 00:00:00",6.53
"2017-07-01 00:00:00",6.23
"2017-10-01 00:00:00",6.17
"2018-01-01 00:00:00",5.9
"2018-04-01 00:00:00",5.9
"2018-07-01 00:00:00",5.9
"2018-10-01 00:00:00",5.63
"2019-01-01 00:00:00",5.77
"2019-04-01 00:00:00",5.6
"2019-07-01 00:00:00",5.67
"2019-10-01 00:00:00",5.7
"2020-01-01 00:00:00",6.6
"2020-04-01 00:00:00",13.5
"2020-07-01 00:00:00",10.03
"2020-10-01 00:00:00",8.83
"2021-01-01 00:00:00",8.47
"2021-04-01 00:00:00",8.13
"2021-07-01 00:00:00",7.17
"2021-10-01 00:00:00",6.17
"2022-01-01 00:00:00",5.77
"2022-04-01 00:00:00",5.17
"2022-07-01 00:00:00",5.03
"2022-10-01 00:00:00",5.03
"2023-01-01 00:00:00",5.13
"2023-04-01 00:00:00",5.23
"2023-07-01 00:00:00",5.43
"2023-10-01 00:00:00",5.77
"2024-01-01 00:00:00",5.9
"2024-04-01 00:00:00",6.3
"2024-07-01 00:00:00",6.5
"2024-10-01 00:00:00",6.77
"2025-01-01 00:00:00",6.7
"2025-04-01 00:00:00",6.93
"2025-07-01 00:00:00",7.03
"2025-10-01 00:00:00",6.77
