"Household financial net worth"
"Category","Canada"
"2007-01-01 00:00:00",308.75
"2007-04-01 00:00:00",309.49
"2007-07-01 00:00:00",305.94
"2007-10-01 00:00:00",299.77
"2008-01-01 00:00:00",299.85
"2008-04-01 00:00:00",310.65
"2008-07-01 00:00:00",267.74
"2008-10-01 00:00:00",251.13
"2009-01-01 00:00:00",245.62
"2009-04-01 00:00:00",271.04
"2009-07-01 00:00:00",285.61
"2009-10-01 00:00:00",285.92
"2010-01-01 00:00:00",286.28
"2010-04-01 00:00:00",276.07
"2010-07-01 00:00:00",293.08
"2010-10-01 00:00:00",304.13
"2011-01-01 00:00:00",308.45
"2011-04-01 00:00:00",304.95
"2011-07-01 00:00:00",290.35
"2011-10-01 00:00:00",297.98
"2012-01-01 00:00:00",304.91
"2012-04-01 00:00:00",300.39
"2012-07-01 00:00:00",306.14
"2012-10-01 00:00:00",312.19
"2013-01-01 00:00:00",320.62
"2013-04-01 00:00:00",311.4
"2013-07-01 00:00:00",312.25
"2013-10-01 00:00:00",325.1
"2014-01-01 00:00:00",339.18
"2014-04-01 00:00:00",347.96
"2014-07-01 00:00:00",347.79
"2014-10-01 00:00:00",352.07
"2015-01-01 00:00:00",368.48
"2015-04-01 00:00:00",358.63
"2015-07-01 00:00:00",345.88
"2015-10-01 00:00:00",352.86
"2016-01-01 00:00:00",351.76
"2016-04-01 00:00:00",363.78
"2016-07-01 00:00:00",378.32
"2016-10-01 00:00:00",380.13
"2017-01-01 00:00:00",388.53
"2017-04-01 00:00:00",385.77
"2017-07-01 00:00:00",381.94
"2017-10-01 00:00:00",388.58
"2018-01-01 00:00:00",390.36
"2018-04-01 00:00:00",388.73
"2018-07-01 00:00:00",389.75
"2018-10-01 00:00:00",377.55
"2019-01-01 00:00:00",393.87
"2019-04-01 00:00:00",402.59
"2019-07-01 00:00:00",404.83
"2019-10-01 00:00:00",408.08
"2020-01-01 00:00:00",368.83
"2020-04-01 00:00:00",387.56
"2020-07-01 00:00:00",395.59
"2020-10-01 00:00:00",413.28
"2021-01-01 00:00:00",421.59
"2021-04-01 00:00:00",435.8
"2021-07-01 00:00:00",428.83
"2021-10-01 00:00:00",442.55
"2022-01-01 00:00:00",425.65
"2022-04-01 00:00:00",387.01
"2022-07-01 00:00:00",385.07
"2022-10-01 00:00:00",394.09
"2023-01-01 00:00:00",406.03
"2023-04-01 00:00:00",402.75
"2023-07-01 00:00:00",386.31
"2023-10-01 00:00:00",402.04
"2024-01-01 00:00:00",412.31
"2024-04-01 00:00:00",407.78
"2024-07-01 00:00:00",419.9
"2024-10-01 00:00:00",422.19
"2025-01-01 00:00:00",419.65
"2025-04-01 00:00:00",425.38
"2025-07-01 00:00:00",445.09
"2025-10-01 00:00:00",455.42
