"Labour underutilisation rate"
"Category","Canada"
"2007-01-01 00:00:00",12.56
"2007-04-01 00:00:00",12.44
"2007-07-01 00:00:00",12.25
"2007-10-01 00:00:00",12.28
"2008-01-01 00:00:00",12.3
"2008-04-01 00:00:00",12.4
"2008-07-01 00:00:00",12.75
"2008-10-01 00:00:00",13.57
"2009-01-01 00:00:00",15.45
"2009-04-01 00:00:00",16.3
"2009-07-01 00:00:00",16.7
"2009-10-01 00:00:00",16.76
"2010-01-01 00:00:00",16.2
"2010-04-01 00:00:00",16.08
"2010-07-01 00:00:00",16.29
"2010-10-01 00:00:00",16.04
"2011-01-01 00:00:00",15.75
"2011-04-01 00:00:00",15.67
"2011-07-01 00:00:00",15.26
"2011-10-01 00:00:00",15.29
"2012-01-01 00:00:00",15.31
"2012-04-01 00:00:00",15.07
"2012-07-01 00:00:00",14.94
"2012-10-01 00:00:00",14.95
"2013-01-01 00:00:00",14.61
"2013-04-01 00:00:00",14.81
"2013-07-01 00:00:00",14.78
"2013-10-01 00:00:00",14.82
"2014-01-01 00:00:00",14.77
"2014-04-01 00:00:00",14.84
"2014-07-01 00:00:00",14.6
"2014-10-01 00:00:00",14.29
"2015-01-01 00:00:00",14.17
"2015-04-01 00:00:00",14.17
"2015-07-01 00:00:00",14.09
"2015-10-01 00:00:00",14.28
"2016-01-01 00:00:00",14.29
"2016-04-01 00:00:00",13.95
"2016-07-01 00:00:00",13.78
"2016-10-01 00:00:00",13.85
"2017-01-01 00:00:00",13.61
"2017-04-01 00:00:00",13.25
"2017-07-01 00:00:00",12.89
"2017-10-01 00:00:00",12.64
"2018-01-01 00:00:00",12.11
"2018-04-01 00:00:00",11.95
"2018-07-01 00:00:00",11.85
"2018-10-01 00:00:00",11.5
"2019-01-01 00:00:00",11.4
"2019-04-01 00:00:00",11.08
"2019-07-01 00:00:00",11.26
"2019-10-01 00:00:00",11.23
"2020-01-01 00:00:00",13.56
"2020-04-01 00:00:00",24.56
"2020-07-01 00:00:00",18.19
"2020-10-01 00:00:00",16.31
"2021-01-01 00:00:00",15.86
"2021-04-01 00:00:00",14.83
"2021-07-01 00:00:00",13.16
"2021-10-01 00:00:00",11.69
"2022-01-01 00:00:00",11.11
"2022-04-01 00:00:00",9.76
"2022-07-01 00:00:00",9.93
"2022-10-01 00:00:00",9.78
"2023-01-01 00:00:00",9.71
"2023-04-01 00:00:00",9.96
"2023-07-01 00:00:00",10.39
"2023-10-01 00:00:00",10.75
"2024-01-01 00:00:00",10.88
"2024-04-01 00:00:00",11.45
"2024-07-01 00:00:00",11.85
"2024-10-01 00:00:00",12.05
"2025-01-01 00:00:00",12.04
"2025-04-01 00:00:00",12.18
"2025-07-01 00:00:00",12.43
"2025-10-01 00:00:00",12.32
