Dataset,Column,Data Type,Missing,Unique Values
11100021,ref_date,datetime64[ns],0,3
11100021,geo,object,0,13
11100021,dguid,object,0,13
11100021,assets_and_debts,object,0,25
11100021,net_worth_quintiles,object,0,6
11100021,characteristics,object,0,6
11100021,uom,object,0,3
11100021,uom_id,int64,0,3
11100021,scalar_factor,object,0,3
11100021,scalar_id,int64,0,3
11100021,vector,object,0,12636
11100021,coordinate,object,0,12636
11100021,value,float64,14977,7319
11100021,status,object,0,5
11100021,decimals,int64,0,2
11100021_MetaData,cube_title,object,0,33
11100021_MetaData,product_id,object,0,90
11100021_MetaData,cansim_id,object,0,19
11100021_MetaData,url,object,0,32
11100021_MetaData,cube_notes,object,0,12
11100021_MetaData,archive_status,object,0,4
11100021_MetaData,frequency,object,0,11
11100021_MetaData,start_reference_period,object,0,3
11100021_MetaData,end_reference_period,object,0,3
11100021_MetaData,total_number_of_dimensions,object,0,3
API_CAN_DS2_en_csv_v2_10977,country_name,object,0,1
API_CAN_DS2_en_csv_v2_10977,country_code,object,0,1
API_CAN_DS2_en_csv_v2_10977,indicator_name,object,0,1486
API_CAN_DS2_en_csv_v2_10977,indicator_code,object,0,1486
API_CAN_DS2_en_csv_v2_10977,1960,float64,1283,201
API_CAN_DS2_en_csv_v2_10977,1961,float64,1194,291
API_CAN_DS2_en_csv_v2_10977,1962,float64,1184,301
API_CAN_DS2_en_csv_v2_10977,1963,float64,1179,306
API_CAN_DS2_en_csv_v2_10977,1964,float64,1179,306
API_CAN_DS2_en_csv_v2_10977,1965,float64,1177,307
API_CAN_DS2_en_csv_v2_10977,1966,float64,1179,306
API_CAN_DS2_en_csv_v2_10977,1967,float64,1179,306
API_CAN_DS2_en_csv_v2_10977,1968,float64,1179,306
API_CAN_DS2_en_csv_v2_10977,1969,float64,1177,308
API_CAN_DS2_en_csv_v2_10977,1970,float64,1077,401
API_CAN_DS2_en_csv_v2_10977,1971,float64,1039,437
API_CAN_DS2_en_csv_v2_10977,1972,float64,1059,418
API_CAN_DS2_en_csv_v2_10977,1973,float64,1046,430
API_CAN_DS2_en_csv_v2_10977,1974,float64,1062,417
API_CAN_DS2_en_csv_v2_10977,1975,float64,1043,431
API_CAN_DS2_en_csv_v2_10977,1976,float64,1021,455
API_CAN_DS2_en_csv_v2_10977,1977,float64,1014,461
API_CAN_DS2_en_csv_v2_10977,1978,float64,1031,446
API_CAN_DS2_en_csv_v2_10977,1979,float64,1015,460
API_CAN_DS2_en_csv_v2_10977,1980,float64,1026,451
API_CAN_DS2_en_csv_v2_10977,1981,float64,994,479
API_CAN_DS2_en_csv_v2_10977,1982,float64,990,480
API_CAN_DS2_en_csv_v2_10977,1983,float64,1000,472
API_CAN_DS2_en_csv_v2_10977,1984,float64,981,490
API_CAN_DS2_en_csv_v2_10977,1985,float64,980,490
API_CAN_DS2_en_csv_v2_10977,1986,float64,965,508
API_CAN_DS2_en_csv_v2_10977,1987,float64,974,499
API_CAN_DS2_en_csv_v2_10977,1988,float64,974,496
API_CAN_DS2_en_csv_v2_10977,1989,float64,961,511
API_CAN_DS2_en_csv_v2_10977,1990,float64,789,663
API_CAN_DS2_en_csv_v2_10977,1991,float64,750,706
API_CAN_DS2_en_csv_v2_10977,1992,float64,758,698
API_CAN_DS2_en_csv_v2_10977,1993,float64,740,715
API_CAN_DS2_en_csv_v2_10977,1994,float64,750,702
API_CAN_DS2_en_csv_v2_10977,1995,float64,712,739
API_CAN_DS2_en_csv_v2_10977,1996,float64,719,734
API_CAN_DS2_en_csv_v2_10977,1997,float64,717,736
API_CAN_DS2_en_csv_v2_10977,1998,float64,672,782
API_CAN_DS2_en_csv_v2_10977,1999,float64,680,771
API_CAN_DS2_en_csv_v2_10977,2000,float64,565,863
API_CAN_DS2_en_csv_v2_10977,2001,float64,615,828
API_CAN_DS2_en_csv_v2_10977,2002,float64,621,823
API_CAN_DS2_en_csv_v2_10977,2003,float64,626,815
API_CAN_DS2_en_csv_v2_10977,2004,float64,614,827
API_CAN_DS2_en_csv_v2_10977,2005,float64,588,846
API_CAN_DS2_en_csv_v2_10977,2006,float64,588,845
API_CAN_DS2_en_csv_v2_10977,2007,float64,575,860
API_CAN_DS2_en_csv_v2_10977,2008,float64,577,854
API_CAN_DS2_en_csv_v2_10977,2009,float64,591,847
API_CAN_DS2_en_csv_v2_10977,2010,float64,555,872
API_CAN_DS2_en_csv_v2_10977,2011,float64,562,868
API_CAN_DS2_en_csv_v2_10977,2012,float64,578,853
API_CAN_DS2_en_csv_v2_10977,2013,float64,575,856
API_CAN_DS2_en_csv_v2_10977,2014,float64,556,871
API_CAN_DS2_en_csv_v2_10977,2015,float64,549,847
API_CAN_DS2_en_csv_v2_10977,2016,float64,543,876
API_CAN_DS2_en_csv_v2_10977,2017,float64,561,861
API_CAN_DS2_en_csv_v2_10977,2018,float64,579,854
API_CAN_DS2_en_csv_v2_10977,2019,float64,587,841
API_CAN_DS2_en_csv_v2_10977,2020,float64,577,831
API_CAN_DS2_en_csv_v2_10977,2021,float64,592,833
API_CAN_DS2_en_csv_v2_10977,2022,float64,664,766
API_CAN_DS2_en_csv_v2_10977,2023,float64,761,689
API_CAN_DS2_en_csv_v2_10977,2024,float64,868,593
API_CAN_DS2_en_csv_v2_10977,2025,float64,1358,125
FVI_BANKS_CASH-sd-2015-04-01-ed-2026-01-01,date,datetime64[ns],0,43
FVI_BANKS_CASH-sd-2015-04-01-ed-2026-01-01,fvi_nsfr_sib,float64,23,19
FVI_BANKS_CASH-sd-2015-04-01-ed-2026-01-01,fvi_lcr_sib,float64,0,42
FVI_BANKS_PROFIT-sd-2013-01-01-ed-2026-01-01,date,datetime64[ns],0,52
FVI_BANKS_PROFIT-sd-2013-01-01-ed-2026-01-01,fvi_roe_sib,float64,0,50
FVI_BANKS_PROFIT-sd-2013-01-01-ed-2026-01-01,fvi_roe_smsb,float64,0,50
FVI_BANKS_PROFIT-sd-2013-01-01-ed-2026-01-01,fvi_roa_sib,float64,0,29
FVI_BANKS_PROFIT-sd-2013-01-01-ed-2026-01-01,fvi_roa_smsb,float64,0,34
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,date,datetime64[ns],0,48
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_amort_lt25y,float64,7,33
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_amort_25y,float64,7,40
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_amort_gt25y,float64,7,41
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_orig,float64,7,41
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_var,float64,7,40
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_fix_lt3y,float64,7,40
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_fix_3_to_lt5y,float64,7,37
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_fix_gte5y,float64,7,40
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_ins_amort_lt25y,float64,0,41
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_ins_amort_25y,float64,0,41
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_ins_amort_gt25y,float64,0,7
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_ins_orig,float64,0,48
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_ins_var,float64,0,47
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_ins_fix_lt3y,float64,0,47
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_ins_fix_3_to_lt5y,float64,0,47
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_ins_fix_gte5y,float64,0,48
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_amort_lt25y,float64,7,39
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_amort_25y,float64,7,41
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_amort_gt25y,float64,7,40
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_orig,float64,7,41
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_var,float64,7,41
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_fix_lt3y,float64,7,40
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_fix_3_to_lt5y,float64,7,41
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_fix_gte5y,float64,7,41
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_amort_lt25y_mi_resl2,float64,38,8
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_amort_25y_mi_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_amort_gt25y_mi_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_orig_mi_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_var_mi_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_fix_lt3y_mi_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_fix_3_to_lt5y_mi_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_all_fix_gte5y_mi_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_amort_lt25y_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_amort_25y_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_amort_gt25y_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_orig_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_var_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_fix_lt3y_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_fix_3_to_lt5y_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,fvi_mtg_unins_fix_gte5y_resl2,float64,38,10
FVI_CHARACTERISTICS_MORTGAGE_ORIG_WEEKLY-sd-2013-11-23-ed-2026-03-04,date,datetime64[ns],0,635
FVI_CHARACTERISTICS_MORTGAGE_ORIG_WEEKLY-sd-2013-11-23-ed-2026-03-04,fvi_mtg_rate_5y_var,float64,0,131
FVI_CHARACTERISTICS_MORTGAGE_ORIG_WEEKLY-sd-2013-11-23-ed-2026-03-04,fvi_mtg_rate_5y_fix,float64,0,150
FVI_HOUSEHOLD-sd-2015-01-01-ed-2026-01-01,date,datetime64[ns],0,44
FVI_HOUSEHOLD-sd-2015-01-01-ed-2026-01-01,fvi_cc_avg_utilization_rate_allborrowers,float64,0,42
FVI_HOUSEHOLD-sd-2015-01-01-ed-2026-01-01,fvi_cc_avg_utilization_rate_mtgholder,float64,0,41
FVI_HOUSEHOLD-sd-2015-01-01-ed-2026-01-01,fvi_cc_avg_utilization_rate_non_mtgholder,float64,0,41
FVI_HOUSEHOLD-sd-2015-01-01-ed-2026-01-01,fvi_cc_dlq_rate_30dayplus_allborrowers,float64,0,34
FVI_HOUSEHOLD-sd-2015-01-01-ed-2026-01-01,fvi_cc_dlq_rate_30dayplus_mtgholder,float64,0,33
FVI_HOUSEHOLD-sd-2015-01-01-ed-2026-01-01,fvi_cc_dlq_rate_30dayplus_non_mtgholder,float64,0,36
FVI_HOUSEHOLD-sd-2015-01-01-ed-2026-01-01,fvi_cc_utilization_rate_above80_allborrowers,float64,0,40
