Dataset,Rows,Columns,Numeric Columns,Categorical Columns,Missing Values,Duplicate Rows,Date Columns
11100021,37908,15,4,11,14977,0,ref_date
11100021_MetaData,92,10,0,10,0,0,
API_CAN_DS2_en_csv_v2_10977,1486,70,66,4,55874,0,
FVI_BANKS_CASH-sd-2015-04-01-ed-2026-01-01,43,3,2,1,23,0,date
FVI_BANKS_PROFIT-sd-2013-01-01-ed-2026-01-01,52,5,4,1,0,0,date
FVI_CHARACTERISTICS_MORTGAGE_ORIGINATION_ALL-sd-2014-01-01-ed-2026-01-01,48,41,40,1,720,0,date
FVI_CHARACTERISTICS_MORTGAGE_ORIG_WEEKLY-sd-2013-11-23-ed-2026-03-04,635,3,2,1,0,0,date
FVI_HOUSEHOLD-sd-2015-01-01-ed-2026-01-01,44,10,9,1,0,0,date
FVI_HOUSEHOLD_CREDIT_PERFORMANCE-sd-2015-01-01-ed-2026-01-01,44,8,7,1,0,0,date
FVI_HOUSE_FLIPPING_ACTIVITY-sd-2014-01-01-ed-2026-01-01,48,25,24,1,0,0,date
FVI_HOUSE_PRICE_EXPECTATIONS_CSCE-sd-2015-12-09-ed-2026-01-01,39,9,8,1,0,0,date
FVI_LOAN_TO_INCOME_RATIO_ALL-sd-2014-01-01-ed-2026-01-01,48,23,22,1,456,0,date
FVI_LOAN_TO_VALUE_RATIO_ALL-sd-2014-01-01-ed-2026-01-01,48,41,40,1,915,0,date
FVI_MORTGAGE_DEBT_SERVICE_RATIO_ALL,48,23,22,1,456,0,date
FVI_NFB_CASH-sd-1990-01-01-ed-2026-01-01,144,2,1,1,0,0,date
FVI_NFB_ICR-sd-2012-01-01-ed-2026-01-01,56,2,1,1,0,0,date
FVI_NFB_INSOLVENCY-sd-1987-01-01-ed-2026-02-01,469,2,1,1,0,0,date
FVI_NFB_PROFIT-sd-2010-01-01-ed-2026-01-01,64,2,1,1,0,0,date
FVI_OVERALL_FINANCIAL_SYSTEM-sd-1981-01-01-ed-2026-02-02,542,2,1,1,0,0,date
FVI_TYPES_OF_MORTGAGED_HOMEBUYERS_ALL-sd-2014-01-01-ed-2025-10-01,47,7,6,1,132,0,date
Metadata_Country_API_CAN_DS2_en_csv_v2_10977,1,5,0,5,0,0,
Metadata_Indicator_API_CAN_DS2_en_csv_v2_10977,1486,4,0,4,0,0,
export-2026-06-18T23_01_18.985Z,76,2,1,1,0,0,category
export-2026-06-18T23_01_18.988Z,76,2,1,1,0,0,category
export-2026-06-18T23_01_20.102Z,76,2,1,1,0,0,category
export-2026-06-18T23_01_21.351Z,75,2,1,1,0,0,category
export-2026-06-18T23_01_21.458Z,76,2,1,1,0,0,category
export-2026-06-18T23_01_32.610Z,76,2,1,1,0,0,category
export-2026-06-18T23_01_32.637Z,76,2,1,1,0,0,category
export-2026-06-18T23_01_32.638Z,76,2,1,1,0,0,category
export-2026-06-18T23_01_39.067Z,76,2,1,1,0,0,category
export-2026-06-18T23_06_21.414Z,2,1,0,1,0,0,
export-2026-06-18T23_06_27.437Z,2,1,0,1,0,0,
export-2026-06-18T23_06_33.968Z,2,1,0,1,0,0,
export-2026-06-18T23_06_39.389Z,2,1,0,1,0,0,
export-2026-06-18T23_06_46.003Z,2,1,0,1,0,0,
export-2026-06-18T23_06_52.253Z,2,1,0,1,0,0,
